"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"1",1,2004,9.08383455336983e-06,NA,NA,4.7161686319292e-06,1.53720015598615e-05,1.13619078705737e-05,NA,NA,3.02680788846114e-05,-1.7846963701287e-05,NA,NA,NA
"2",2,2004,7.38252824495519e-06,NA,NA,-0.000122485808242402,-4.10780669180013e-05,1.13926078159148e-05,NA,NA,5.52759593100311e-05,-3.95056966397998e-06,NA,NA,NA
"3",3,2004,1.82680183332201e-05,NA,NA,0.000218297836128735,3.58027215015452e-05,6.07128565724188e-05,NA,NA,-2.62979290300964e-05,3.25085947687614e-05,NA,NA,NA
"4",4,2004,6.48316138043604e-06,NA,NA,-4.60347993109971e-05,1.14754634298119e-05,9.11565031414181e-06,NA,NA,-0.000209394430619819,-5.42395503400801e-05,NA,NA,NA
"5",5,2004,4.48457958644212e-05,NA,NA,6.85960001746562e-06,-4.13899844261732e-05,-2.31762181685267e-05,NA,NA,-1.08956151446494e-06,-7.87871354679128e-05,NA,NA,NA
"6",6,2004,7.97458398413797e-05,NA,NA,4.42500219503298e-05,3.04611722566352e-05,-1.2446099404024e-05,NA,NA,-0.000127482930982251,-6.12503599205668e-05,NA,NA,NA
"7",7,2004,-3.52230683921056e-06,NA,NA,-0.000167150740190194,-1.33374963946678e-05,7.00199657867526e-05,NA,NA,7.338316703235e-06,8.84634325311545e-05,NA,NA,NA
"8",8,2004,1.47753669548163e-05,NA,NA,1.74574027311766e-05,-4.24758762666237e-06,8.18665559860078e-07,NA,NA,-7.0698033411842e-06,-5.47591055140063e-06,NA,NA,NA
"9",9,2004,-1.57876906186069e-05,NA,NA,3.68895862193764e-05,-3.02277892686655e-05,-1.38284252096001e-05,NA,NA,6.20846261023647e-06,-2.70470801762415e-05,NA,NA,NA
"10",10,2004,-2.1360405170073e-06,NA,NA,-2.84197835419781e-05,-3.45347485526513e-05,-0.000134281198350444,NA,NA,-2.90650776096021e-06,4.27001972964085e-05,NA,NA,NA
"11",11,2004,2.73703478712492e-06,NA,NA,7.29046196332884e-05,-7.32803909619038e-05,-6.1766525132717e-05,NA,NA,1.31565889915264e-06,7.86484404117127e-06,NA,NA,NA
"12",12,2004,1.63899563668056e-05,NA,NA,1.85946100645563e-05,-3.04787068509555e-05,3.30681155905199e-05,NA,NA,1.02564006015e-05,2.27739166700079e-05,NA,NA,NA
"13",1,2005,-5.03290940290035e-06,NA,NA,2.94851768071075e-05,5.16099836665797e-06,-6.88750204859549e-05,NA,NA,0.00025148506459516,0.000100206491208467,NA,NA,NA
"14",2,2005,3.3374808652464e-05,NA,NA,3.96296827289558e-05,3.98304244115896e-05,-6.32111403259288e-05,NA,NA,0.000257986192647139,-1.55031427015245e-05,NA,NA,NA
"15",3,2005,-5.71255973006874e-05,NA,NA,0.008703901360017,7.23503243407879e-05,-0.000224521573401362,NA,NA,0.000947419595400388,-9.78691799263216e-05,NA,NA,NA
"16",4,2005,3.79715558547985e-06,NA,NA,-0.000194742920052963,1.97592368611878e-05,4.50571333623374e-05,NA,NA,-1.76463275177075e-05,1.99515444531579e-06,NA,NA,NA
"17",5,2005,5.37395902753571e-05,NA,NA,-6.20453687611139e-06,0.000150321190716528,0.000197989205495849,NA,NA,0.00045537440213616,3.7296432772039e-06,NA,NA,NA
"18",6,2005,-4.42830087687855e-06,NA,-0.000154811782392248,2.56778447593482e-05,-8.14760877324219e-05,1.01303698173891e-05,NA,NA,2.48179696065462e-05,-4.63719043063265e-06,NA,NA,NA
"19",7,2005,-1.40328483363717e-05,NA,5.09462127251535e-06,-7.15443818138592e-05,7.85071942441666e-06,2.08812677974158e-05,NA,NA,0.000122820994924119,-2.15281860775842e-06,NA,NA,NA
"20",8,2005,-3.93941254540518e-06,NA,1.54699423823872e-05,-1.5929072109837e-05,5.31921002310297e-05,-1.35844466042396e-06,NA,NA,-0.000364268933694164,-2.83067011621048e-07,NA,NA,NA
"21",9,2005,-2.33835091756875e-05,NA,1.23556373710067e-05,-0.0625920453955091,6.10347960662537e-05,8.4185100641886e-06,NA,NA,0.000214648729420219,1.87565498052643e-05,NA,NA,NA
"22",10,2005,-1.41094181697136e-05,NA,6.31352393722229e-05,-0.000168156473802808,8.08070246686195e-05,0.00022700821577278,NA,NA,-0.000100010976414247,1.5469493040524e-05,NA,NA,NA
"23",11,2005,1.53103417595283e-06,NA,4.44763841613865e-06,-0.00100644699370651,-3.62317135761586e-05,-1.81853165190057e-05,NA,NA,5.37828305156154e-05,6.05368673992575e-06,NA,NA,NA
"24",12,2005,-3.65034867366735e-05,NA,1.06670718384032e-05,-3.75724594754176e-06,-1.23107582373771e-06,-3.85034863251771e-06,NA,NA,-2.789551595543e-05,-4.71827702143833e-05,NA,NA,NA
"25",1,2006,-2.68936885972882e-05,NA,8.24094243498964e-05,-1.46620355054303e-05,-2.84469366627828e-05,9.72937048232367e-06,NA,NA,8.06418980647215e-05,-1.6181647350849e-05,NA,NA,NA
"26",2,2006,-1.58928115451446e-05,NA,-4.1632455758577e-05,-3.40543927054168e-05,1.23358784119103e-06,-3.791555506221e-05,NA,NA,5.34681486849965e-06,1.3893810389771e-05,NA,NA,NA
"27",3,2006,-6.0204629786425e-06,NA,5.72851246628839e-05,1.29260659603208e-05,-4.02189103927786e-05,-1.37424376935129e-05,NA,NA,-3.83159750466264e-05,-3.03254672853942e-05,NA,NA,NA
"28",4,2006,9.63540008595314e-06,NA,-3.88787368082299e-05,8.35299028482803e-05,7.11618284355692e-05,-4.70738474609282e-05,NA,NA,3.9242993471949e-05,1.51791856090718e-05,NA,NA,NA
"29",5,2006,-7.57750276314951e-05,NA,4.77033988566065e-05,0.000406860167157773,-8.79926910337686e-06,-0.000340432283410978,NA,NA,-1.89558045462903e-05,-0.000175770185547006,NA,NA,NA
"30",6,2006,5.1146321692874e-05,NA,0.000228594095057403,-3.54225560363835e-05,0.000534960770983686,0.000287188689030405,NA,NA,0.000551198373657368,0.000116687059780436,NA,NA,NA
"31",7,2006,-7.06908695117215e-06,NA,-3.5851164676648e-05,1.98768885612333e-05,-1.60692524587611e-05,5.69876072555732e-05,NA,NA,3.44367274594393e-05,2.30098616818732e-05,NA,NA,NA
"32",8,2006,-6.27355059970893e-06,NA,5.933586260211e-05,0.000284281892472425,-5.30644320297075e-05,-9.53472525754391e-06,NA,NA,2.99582175460082e-06,2.40344960801201e-05,NA,NA,NA
"33",9,2006,9.44705456371663e-06,NA,-1.03918341753633e-05,-3.8270898086651e-05,4.61997042251611e-05,3.35331196487695e-05,NA,NA,9.30466253623596e-05,3.41825353410016e-05,NA,NA,NA
"34",10,2006,-3.37293931365275e-06,NA,3.65043787224133e-05,3.84805673718355e-05,1.54178259118229e-05,-1.80962159711346e-05,NA,NA,-1.09079936811362e-05,4.40599480179545e-06,NA,NA,NA
"35",11,2006,3.33873329969555e-05,NA,-7.52572839699142e-05,3.09152404098562e-05,-7.21060049780243e-05,2.08174022639111e-05,NA,NA,2.02278571361265e-05,3.7975132778391e-05,NA,NA,NA
"36",12,2006,-4.45800239964823e-06,NA,-9.35093100863011e-06,-0.19881906897454,2.76389169671289e-07,-3.66646018870837e-06,NA,NA,-2.50717103253086e-05,-1.33854169286972e-05,NA,-9.28660813413159e-05,NA
"37",1,2007,5.26087287687074e-06,NA,1.99236770929648e-05,-0.187354489443305,-5.05420140356478e-05,-6.39503525228117e-06,NA,NA,-1.55957533393523e-05,-8.16461896189456e-06,NA,-2.4766716453302e-05,NA
"38",2,2007,-5.94195788441408e-05,NA,-9.46499726649672e-06,1.58533107656299e-05,6.27782648797695e-05,8.57419272106623e-05,NA,NA,0.000118455989884916,2.43869445403227e-05,NA,-5.26572833165444e-05,NA
"39",3,2007,6.96420591190239e-06,NA,-3.69093818588422e-05,-5.91194062261039e-05,-0.000130114683213231,2.70586825179309e-05,NA,NA,-6.9472780978669e-05,-8.63569025583629e-06,NA,2.53654645966001e-06,NA
"40",4,2007,-3.44345666890157e-05,NA,-2.43862476685888e-05,-0.000184144092770625,-2.6569205077176e-05,7.56052103792478e-05,NA,NA,2.8335052048966e-05,-1.20010830981743e-06,NA,-2.31600124255111e-06,NA
"41",5,2007,-2.79697309484083e-05,NA,-3.06528917227785e-05,4.90117700085909e-05,1.40148418137021e-06,5.0640872838898e-06,NA,NA,-5.46915746873076e-05,1.16559372600186e-05,NA,-7.26934175938486e-05,NA
"42",6,2007,-1.06264993876426e-05,NA,-9.1587068244979e-05,-2.07945130011664e-05,-2.71333294657536e-05,-3.3003673170223e-05,NA,NA,-5.87343150847812e-05,1.6096300818876e-06,NA,-8.45378103483516e-06,NA
"43",7,2007,3.68675359255912e-05,NA,-4.90242248461398e-05,-8.32328806025674e-06,-2.55609485688047e-05,-1.75610823197117e-06,NA,NA,-1.63053636989654e-05,-4.62795198294048e-06,NA,-1.84515905293227e-05,NA
"44",8,2007,-7.31005105226227e-06,NA,7.36079745903522e-05,1.51617386319253e-05,-0.000122365642168761,7.80344797264029e-05,NA,NA,-0.000134159441271456,8.38649522984325e-06,NA,3.46668866130455e-05,NA
"45",9,2007,8.93908884375938e-05,NA,1.98962195701625e-06,2.44394672656244e-05,-6.02752443804637e-06,8.84331011487267e-06,NA,NA,-1.80495739403726e-06,-5.65014877109769e-05,NA,1.41834214877631e-05,NA
"46",10,2007,5.6985526905507e-06,NA,-9.78987397623969e-06,-3.29175313610283e-05,5.88213911763048e-05,1.40927609298577e-05,NA,NA,5.37985585911827e-05,-1.84253531851729e-05,NA,9.75359202291269e-06,NA
"47",11,2007,7.59470018363894e-05,NA,-2.98175145578142e-05,-0.000111731855284579,4.41312810471211e-05,-5.13737365911067e-05,NA,NA,-9.98062584824e-06,-1.2257240742831e-05,NA,-2.85850061381551e-05,NA
"48",12,2007,-1.23480918845428e-05,NA,-3.05296418831714e-05,3.90190522551259e-05,-4.19000214177227e-05,6.06535013390259e-05,NA,NA,-1.81195618041803e-05,1.51025864370014e-05,NA,-2.08384548059297e-05,NA
"49",1,2008,-1.86764804901361e-05,NA,-0.000106485669835003,-0.000133981755347641,-9.07381986218426e-05,5.80431566955608e-05,NA,NA,0.000106041939322989,-0.000278328590080263,NA,-0.00013020888393454,NA
"50",2,2008,0.000147810356393322,-7.84648236925459e-05,0.000165833624573577,-3.65973773996893e-06,-2.39238612629351e-06,-6.73522745130013e-05,NA,NA,3.10112323794996e-05,-8.97310849644095e-06,NA,1.59820070536468e-06,NA
"51",3,2008,-3.34910067279404e-05,1.67687130457467e-05,0.000192062420349289,-3.79798717326322e-05,2.23512172728707e-06,-0.000244381360576043,NA,NA,-7.14493333461187e-05,-3.32916631213067e-05,NA,-7.10006751678248e-06,NA
"52",4,2008,-4.52692178646338e-05,3.27083880949198e-05,-7.77033098817038e-05,-9.01935562185956e-05,-1.05972954897617e-05,2.1238620641169e-05,NA,NA,-4.02209695601012e-05,-2.64313026277062e-06,NA,-7.30033476450674e-05,NA
"53",5,2008,-7.26038113750681e-05,-1.37868360563524e-05,-2.86500282351879e-05,2.7807079252711e-05,0.000108643127919162,-0.000123740487127149,NA,NA,-4.05198394839096e-05,2.21381541776978e-06,NA,1.29562852584141e-05,NA
"54",6,2008,-6.51733384808978e-05,-1.87071104886762e-05,2.51572919094593e-05,8.1317364294652e-05,-0.000106795003373043,-2.05087972072201e-05,NA,NA,8.15368925420333e-05,-2.14220186062211e-05,NA,-8.89651145225849e-06,NA
"55",7,2008,-0.000352409659483099,7.96114269603119e-05,-9.8609623105589e-07,0.000419962217465258,5.26196326895062e-06,-4.55176169075984e-05,NA,NA,4.99514694219579e-05,-2.38249282286357e-05,NA,-0.000229066467921016,NA
"56",8,2008,0.000118795620457181,-7.79585473189055e-06,-4.01173165917284e-05,-2.08357374021264e-05,-2.96300932318195e-06,3.96257247909783e-05,NA,NA,-1.20491555876731e-05,-1.38888917038827e-05,NA,4.50335600782087e-05,NA
"57",9,2008,0.000319077804335066,-0.000440971092318616,-0.00167414137435116,-3.52954565089289e-05,-0.000191004352821465,-0.000216301159958868,NA,NA,-4.40540570594919e-05,0.00016712261368236,NA,2.75837257455974e-05,NA
"58",10,2008,0.000169763948748519,0.00029157320902494,-0.00240072681668585,-0.000407257665552257,0.00128314985714849,0.00128309997884571,NA,NA,0.000342596296023032,0.000182280837931333,NA,-7.75496085311815e-05,NA
"59",11,2008,0.00123309649653601,0.000300924421955086,0.0025505293996385,-4.58802910274645e-06,4.77212942620593e-05,0.000369454489587937,NA,NA,0.000379404712793487,-8.17389664059758e-05,NA,-0.00027481322261881,NA
"60",12,2008,0.000407902601086132,-0.00010970392101386,0.00042484500874302,0.000112953854678684,-0.000157525399639099,-0.000313629681592889,NA,NA,0.00394577080277756,-0.000155987753493591,NA,-0.000102586093745481,NA
"61",1,2009,0.000591736574249303,0.000267416716700938,0.000980455521583317,7.48405788341589e-05,3.26429238145503e-05,8.24050350159517e-05,NA,NA,0.00023539800005525,4.56750316371077e-05,NA,-0.00021542256589948,NA
"62",2,2009,0.000619954285298405,-6.27014159880123e-05,8.36686489624986e-05,5.47553722196239e-05,-5.92849563518936e-05,0.000194120502712876,NA,NA,0.00059894625085817,8.76665072933567e-05,NA,-1.03727789759418e-05,NA
"63",3,2009,-0.000333882979944061,-0.000125198299764425,8.43188149011755e-05,-2.0650225230308e-05,-2.72817677560692e-05,0.000502786349725296,NA,NA,0.000312511190813062,-1.47334555897195e-05,NA,-9.8952722827123e-05,NA
"64",4,2009,0.000542625440998726,0.000421955875627299,-0.00016833990086386,-3.33781518898399e-05,1.75873616126497e-05,0.000626122213158088,NA,NA,0.000140489247674997,2.99518948165972e-05,NA,-0.000103483017761977,NA
"65",5,2009,0.000871680120912271,7.75683800377666e-05,0.000151549509326986,-1.08732623452662e-05,-0.000115686648410867,0.000230515206454507,NA,NA,-0.16078964711216,-5.26256709890387e-06,NA,-0.000291018814559292,NA
"66",6,2009,0.000294983432964828,0.000132777492652689,0.000205420170757718,1.545294740715e-05,-0.000101503659340568,7.0497821835827e-05,NA,NA,-0.000111480077400277,-8.46899062817632e-06,NA,2.79219480497191e-06,NA
"67",7,2009,0.000399720330546898,-1.88535252889147e-05,9.84593339983834e-05,7.86681566942048e-05,2.65214897090042e-05,9.14578576367024e-05,NA,NA,-3.64326870821963e-05,-1.7145222730514e-06,NA,1.43118933389003e-05,NA
"68",8,2009,-0.000355306362020658,5.20520545175235e-05,-0.000197527630993833,-9.49768737303916e-05,1.10606227101816e-06,7.07916273009276e-05,NA,NA,-7.27183921954786e-05,-6.50100470927541e-05,NA,-0.000127256006748565,NA
"69",9,2009,7.86940407447454e-05,-9.42261221008013e-06,-0.000218839846660775,-0.000128387590190856,-1.31001945285468e-06,-8.5515604397549e-05,NA,NA,-7.24317932244493e-05,-5.77245040185027e-05,NA,1.88071569813084e-05,NA
"70",10,2009,-2.11466398810691e-05,7.41348751165804e-05,0.000496129298087222,-2.64691271797236e-05,-9.60540706472135e-05,-1.40817959244266e-05,NA,NA,-9.09026459967867e-05,-6.82749247100335e-05,NA,-3.2136402727308e-05,NA
"71",11,2009,-3.31224299902885e-05,-0.000235512637575217,3.97885879009446e-05,-0.000101484893769638,-2.6876359956673e-05,-1.58621742028143e-05,NA,NA,-7.540825524077e-05,-3.25329841860908e-05,NA,-1.47831236762958e-05,NA
"72",12,2009,-2.19304016662878e-05,-4.02308867898437e-05,0.000110076696367773,-4.96623641465291e-06,-1.48863016732714e-05,3.85959242127326e-05,NA,NA,1.62607067541657e-05,-1.94192492754419e-05,NA,4.72408253947794e-06,NA
