"","Group.1","Group.2","MOL.MAGYAR.OLAJ.ES.GAZIPARI","OTP.BANK","RICHTER.GEDEON","MAGYAR.TKOM.TELECOM.","BUDAPEST.ELECTRICITY","X4IG.NYILVANOSAN","ALLAMI.NYOMDA","ALTEO.ENERGY","ALTERA.WEALTH.MANAGEMENT","APPENINN.NYILVANOSAN","BPT.PR.UTILIZATION..DEV.","CIG.PANNONIA.LIFE.IN.","CSEPEL.HOLDING","DUNA.HOUSE.HOLDING","EHEP.SHARE","ENEFI.ENERGY","EST.MEDIA","EXTERNET","FHB.SHARE","FINEXT.SHARE","FORRAS.FORRAS.T","FUTURAQUA","GRAPHISOFT.PARK.SE.SHARE","KARTONPACK","KEG.CTL.EUR.LPG.TERM.","KEY.SOFT","KONZUM.TRDG...INDL.","MASTERPLAST","NORDTELEKOM.TELECOM.SX.","NTH.HUNGARIAN.ELTY.SUPP.","NUTEX.INVESTMENTS","OPMIUS.GROUP","ORMESTER","OTT.ONE","PANNERGY","PANNON.VALTO","PLOTINUS.HOLDING","RABA.AUTOMOTIVE.GP.","TR.INVESTMENT","ZWACK.UNICUM","ADIDAS..BUD.","ARCELORMITTAL..BUD.","AXA..BUD.","BANCO.SANTANDER..BUD.","BASF..BUD.","BAYER..BUD.","BBV.ARGENTARIA..BUD.","BMW..BUD.","BNP.PARIBAS..BUD.","COMMERZBANK..BUD.","DAIMLER..BUD.","DEUTSCHE.BANK..BUD.","DEUTSCHE.LUFTHANSA..BUD.","E.ON..BUD.","INFINEON.TECH.N..BUD.","LINDE..BUD.","NOKIA..BUD.","SIEMENS..BUD.","TELEFONICA..BUD.","THYSSENKRUPP..BUD.","TOTAL..BUD.","ERWOJ.TURBO.LONG.03.CKT.","ERWOJ.TURBO.LONG.70.CKT.","FORRAS.TRUST...INV."
"1",1,2004,0.136363636363636,0.0909090909090909,0.136363636363636,0.181818181818182,0.363636363636364,NA,NA,NA,NA,NA,0.727272727272727,NA,0.727272727272727,NA,1,NA,0.136363636363636,NA,0.272727272727273,NA,0.136363636363636,NA,NA,1,NA,NA,0.909090909090909,NA,NA,0.227272727272727,0.318181818181818,0.318181818181818,NA,NA,0.272727272727273,0.681818181818182,NA,0.318181818181818,NA,0.545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454545454545455
"2",2,2004,0.05,0.05,0,0.05,0.4,NA,NA,NA,NA,NA,0.6,NA,0.9,NA,1,NA,0.25,NA,0.05,NA,0.1,NA,NA,1,NA,NA,0.45,NA,NA,0.4,0.4,0.15,NA,NA,0.25,0.9,NA,0.05,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"3",3,2004,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,NA,NA,NA,NA,NA,0.695652173913043,NA,0.826086956521739,NA,1,NA,0.217391304347826,NA,0.130434782608696,NA,0.130434782608696,NA,NA,1,NA,NA,0.391304347826087,NA,NA,0.173913043478261,0.304347826086957,0.130434782608696,NA,NA,0.0869565217391304,0.782608695652174,NA,0.173913043478261,NA,0.260869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260869565217391
"4",4,2004,0.0909090909090909,0.0454545454545455,0.181818181818182,0.0454545454545455,0.181818181818182,NA,NA,NA,NA,NA,0.590909090909091,NA,0.909090909090909,NA,0.954545454545455,NA,0.181818181818182,NA,0.0909090909090909,NA,0.0454545454545455,NA,NA,1,NA,NA,0.318181818181818,NA,NA,0.181818181818182,0.227272727272727,0.318181818181818,NA,NA,0.181818181818182,0.681818181818182,NA,0.227272727272727,NA,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273
"5",5,2004,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.19047619047619,NA,NA,NA,NA,NA,0.380952380952381,NA,0.80952380952381,NA,1,NA,0.142857142857143,NA,0.285714285714286,NA,0.0476190476190476,NA,NA,1,NA,NA,0.619047619047619,NA,NA,0.333333333333333,0.19047619047619,0.333333333333333,NA,NA,0.333333333333333,0.80952380952381,NA,0.428571428571429,NA,0.523809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"6",6,2004,0,0.0454545454545455,0,0.0909090909090909,0.318181818181818,NA,NA,NA,NA,NA,0.409090909090909,NA,0.863636363636364,NA,1,NA,0.0454545454545455,NA,0.0454545454545455,NA,0.136363636363636,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.181818181818182,0.0909090909090909,0.545454545454545,NA,NA,0.0454545454545455,0.5,NA,0.227272727272727,NA,0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636363636
"7",7,2004,0.0454545454545455,0,0,0.0909090909090909,0.227272727272727,NA,NA,NA,NA,NA,0.545454545454545,NA,1,NA,1,NA,0.363636363636364,NA,0.136363636363636,NA,0.181818181818182,NA,NA,1,NA,NA,0.772727272727273,NA,NA,0.0909090909090909,0.272727272727273,0.363636363636364,NA,NA,0.0909090909090909,0.590909090909091,NA,0.272727272727273,NA,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",8,2004,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.136363636363636,NA,NA,NA,NA,NA,0.409090909090909,NA,1,NA,1,NA,0.318181818181818,NA,0.0909090909090909,NA,0.136363636363636,NA,NA,1,NA,NA,0.772727272727273,NA,NA,0.272727272727273,0.409090909090909,0.545454545454545,NA,NA,0.227272727272727,0.590909090909091,NA,0.318181818181818,NA,0.318181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273
"9",9,2004,0.0909090909090909,0,0.0454545454545455,0.136363636363636,0.181818181818182,0,NA,NA,NA,NA,0.363636363636364,NA,0.909090909090909,NA,1,NA,0.136363636363636,NA,0.0454545454545455,NA,0.0909090909090909,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.0454545454545455,0.0909090909090909,0.227272727272727,NA,NA,0.0909090909090909,0.318181818181818,NA,0.272727272727273,NA,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273
"10",10,2004,0,0,0,0.0476190476190476,0.19047619047619,0.142857142857143,NA,NA,NA,NA,0.523809523809524,NA,0.952380952380952,NA,0.952380952380952,NA,0.285714285714286,NA,0.0476190476190476,NA,0.0952380952380952,NA,NA,1,NA,NA,0.523809523809524,NA,NA,0,0.523809523809524,0.19047619047619,NA,NA,0.0476190476190476,0.571428571428571,NA,0.19047619047619,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"11",11,2004,0.0454545454545455,0.0909090909090909,0.136363636363636,0.181818181818182,0.0909090909090909,0.636363636363636,NA,NA,NA,NA,0.590909090909091,NA,0.909090909090909,NA,1,NA,0.227272727272727,NA,0.181818181818182,NA,0.318181818181818,NA,NA,1,NA,NA,0.545454545454545,NA,NA,0.0454545454545455,0.272727272727273,0.409090909090909,NA,NA,0.136363636363636,0.545454545454545,NA,0.227272727272727,NA,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273
"12",12,2004,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.130434782608696,0.173913043478261,0.565217391304348,NA,NA,NA,NA,0.652173913043478,NA,0.652173913043478,NA,1,NA,0.130434782608696,NA,0.173913043478261,NA,0.173913043478261,NA,NA,1,NA,NA,0.695652173913043,NA,NA,0.130434782608696,0.347826086956522,0.434782608695652,NA,NA,0.304347826086957,0.652173913043478,NA,0.0869565217391304,NA,0.260869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261
"13",1,2005,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.380952380952381,NA,NA,NA,NA,0.238095238095238,NA,0.857142857142857,NA,1,NA,0.19047619047619,NA,0,NA,0.142857142857143,NA,NA,1,NA,NA,0.857142857142857,NA,NA,0.0476190476190476,0.476190476190476,0.285714285714286,NA,NA,0.0476190476190476,0.523809523809524,NA,0.142857142857143,NA,0.19047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952
"14",2,2005,0,0,0.05,0.05,0,0.45,NA,NA,NA,NA,0.55,NA,0.6,NA,1,NA,0.35,NA,0,NA,0.05,NA,NA,1,NA,NA,0.75,NA,NA,0.1,0.3,0.1,NA,NA,0.05,0.35,NA,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"15",3,2005,0.130434782608696,0.130434782608696,0.130434782608696,0.173913043478261,0.130434782608696,0.608695652173913,NA,NA,NA,NA,0.782608695652174,NA,0.91304347826087,NA,1,NA,0.304347826086957,NA,0.173913043478261,NA,0.521739130434783,NA,NA,1,NA,NA,1,NA,NA,0.130434782608696,0.391304347826087,0.304347826086957,NA,NA,0.130434782608696,0.391304347826087,NA,0.304347826086957,NA,0.434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434782608695652
"16",4,2005,0,0,0.0476190476190476,0,0.238095238095238,0.761904761904762,NA,NA,NA,NA,0.619047619047619,NA,0.761904761904762,NA,1,NA,0.19047619047619,NA,0.0476190476190476,NA,0.142857142857143,NA,NA,1,NA,NA,0.952380952380952,NA,NA,0.142857142857143,0.571428571428571,0.142857142857143,NA,NA,0.142857142857143,0.285714285714286,NA,0.19047619047619,NA,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952
"17",5,2005,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.181818181818182,0.681818181818182,NA,NA,NA,NA,0.636363636363636,NA,0.909090909090909,NA,1,NA,0.0909090909090909,NA,0.0909090909090909,NA,0.181818181818182,NA,NA,1,NA,NA,0.909090909090909,NA,NA,0.136363636363636,0.5,0.318181818181818,NA,NA,0.227272727272727,0.454545454545455,NA,0.181818181818182,NA,0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909
"18",6,2005,0.0454545454545455,0,0.0454545454545455,0.0909090909090909,0.181818181818182,0.772727272727273,NA,NA,NA,NA,0.590909090909091,NA,0.863636363636364,NA,1,NA,0.363636363636364,NA,0,NA,0.227272727272727,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.227272727272727,0.590909090909091,0.318181818181818,NA,NA,0.0454545454545455,0.681818181818182,NA,0.227272727272727,NA,0.318181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909
"19",7,2005,0,0.0476190476190476,0,0.0476190476190476,0.142857142857143,0.80952380952381,NA,NA,NA,NA,0.761904761904762,NA,0.952380952380952,NA,1,NA,0.380952380952381,NA,0.0476190476190476,NA,0.238095238095238,NA,NA,1,NA,NA,0.904761904761905,NA,NA,0.142857142857143,0.571428571428571,0.571428571428571,NA,NA,0.19047619047619,0.428571428571429,NA,0.285714285714286,NA,0.238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952
"20",8,2005,0,0,0,0,0.0434782608695652,0.391304347826087,NA,NA,NA,NA,0.652173913043478,NA,1,NA,1,NA,0.347826086956522,NA,0.173913043478261,NA,0.217391304347826,NA,NA,1,NA,NA,0.739130434782609,NA,NA,0,0.260869565217391,0.565217391304348,NA,NA,0.0869565217391304,0.478260869565217,NA,0.130434782608696,NA,0.565217391304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304
"21",9,2005,0,0.0454545454545455,0,0.0909090909090909,0.136363636363636,0.681818181818182,NA,NA,NA,NA,0.590909090909091,NA,0.863636363636364,NA,0.954545454545455,NA,0.954545454545455,NA,0.0454545454545455,NA,0.0454545454545455,NA,NA,1,NA,NA,0.681818181818182,NA,NA,0.0909090909090909,0.227272727272727,0.454545454545455,NA,NA,0.227272727272727,0.909090909090909,NA,0.363636363636364,NA,0.318181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181818181818182
"22",10,2005,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.238095238095238,0.619047619047619,NA,NA,NA,NA,0.619047619047619,NA,0.80952380952381,NA,0.952380952380952,NA,0.19047619047619,NA,0.0952380952380952,NA,0.19047619047619,NA,NA,1,NA,NA,0.761904761904762,NA,NA,0.0476190476190476,0.523809523809524,0.428571428571429,NA,NA,0.285714285714286,0.714285714285714,NA,0.380952380952381,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"23",11,2005,0.0909090909090909,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.318181818181818,0.681818181818182,NA,NA,NA,NA,0.727272727272727,NA,0.681818181818182,NA,1,NA,0.181818181818182,NA,0.0909090909090909,NA,0.318181818181818,NA,NA,1,NA,NA,0.954545454545455,NA,NA,0.0454545454545455,0.5,0.363636363636364,NA,NA,0.0454545454545455,0.636363636363636,NA,0.0909090909090909,NA,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318181818181818
"24",12,2005,0.0454545454545455,0.136363636363636,0.0454545454545455,0.136363636363636,0.227272727272727,0.772727272727273,0.25,NA,NA,NA,0.681818181818182,NA,0.909090909090909,NA,1,NA,0.409090909090909,NA,0.0454545454545455,NA,0.318181818181818,NA,NA,1,NA,NA,0.818181818181818,NA,NA,0.0909090909090909,0.409090909090909,0.5,NA,NA,0.136363636363636,0.681818181818182,NA,0.136363636363636,NA,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363636363636364
"25",1,2006,0,0,0,0.181818181818182,0.318181818181818,0.545454545454545,0.136363636363636,NA,NA,NA,0.772727272727273,NA,0.5,NA,1,NA,0.0909090909090909,NA,0,NA,0.409090909090909,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.0909090909090909,0.0454545454545455,0.181818181818182,NA,NA,0,0.409090909090909,NA,0.0454545454545455,NA,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455
"26",2,2006,0,0.05,0.1,0.05,0.3,0.5,0.1,NA,NA,NA,0.6,NA,0.8,NA,1,NA,0.1,NA,0,NA,0.35,NA,NA,1,NA,NA,0.6,NA,NA,0.15,0.25,0.4,NA,NA,0.15,0.6,NA,0,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"27",3,2006,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.260869565217391,0.347826086956522,0.391304347826087,NA,NA,NA,0.695652173913043,NA,0.826086956521739,NA,0.956521739130435,NA,0.260869565217391,NA,0.0869565217391304,NA,0.608695652173913,NA,NA,1,NA,NA,0.608695652173913,NA,NA,0.130434782608696,0.260869565217391,0.260869565217391,NA,NA,0.0869565217391304,0.695652173913043,NA,0.0434782608695652,NA,0.434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304
"28",4,2006,0.05,0.05,0.05,0.05,0.4,0.6,0.3,NA,NA,NA,0.55,NA,0.8,NA,1,NA,0.35,NA,0.05,NA,0.65,NA,NA,1,NA,NA,0.75,NA,NA,0.15,0.15,0.4,NA,NA,0.05,0.75,NA,0.1,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
"29",5,2006,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.826086956521739,0.173913043478261,NA,NA,NA,0.608695652173913,NA,0.695652173913043,NA,0.91304347826087,NA,0.260869565217391,NA,0.0434782608695652,NA,0.347826086956522,NA,NA,1,NA,NA,0.260869565217391,NA,NA,0.217391304347826,0.173913043478261,0.391304347826087,NA,NA,0.130434782608696,0.608695652173913,NA,0.0869565217391304,NA,0.347826086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260869565217391
"30",6,2006,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.590909090909091,0.772727272727273,0.318181818181818,NA,NA,NA,0.636363636363636,NA,0.909090909090909,NA,0.954545454545455,NA,0.272727272727273,NA,0.136363636363636,NA,0.454545454545455,NA,NA,1,NA,NA,0.5,NA,NA,0.0454545454545455,0.272727272727273,0.272727272727273,NA,NA,0.227272727272727,0.727272727272727,NA,0.181818181818182,NA,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636363636
"31",7,2006,0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.19047619047619,0.761904761904762,0.619047619047619,NA,NA,NA,0.428571428571429,NA,0.666666666666667,NA,1,NA,0.380952380952381,NA,0.0476190476190476,NA,0.619047619047619,NA,NA,1,NA,NA,0.619047619047619,NA,NA,0,0.333333333333333,0.523809523809524,NA,NA,0,0.714285714285714,NA,0.0476190476190476,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"32",8,2006,0,0,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.434782608695652,0.478260869565217,NA,NA,NA,0.391304347826087,NA,0.565217391304348,NA,0.826086956521739,NA,0.260869565217391,NA,0.0869565217391304,NA,0.173913043478261,NA,0.25,1,NA,NA,0.608695652173913,NA,NA,0.0434782608695652,0.0869565217391304,0.478260869565217,NA,NA,0.0869565217391304,0.347826086956522,NA,0.130434782608696,NA,0.260869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"33",9,2006,0,0,0.0476190476190476,0.0952380952380952,0.142857142857143,0.666666666666667,0.428571428571429,NA,NA,NA,0.666666666666667,NA,0.80952380952381,NA,1,NA,0.380952380952381,NA,0.0476190476190476,NA,0.142857142857143,NA,0,1,NA,NA,0.0952380952380952,NA,NA,0.0476190476190476,0.19047619047619,0.380952380952381,NA,NA,0.0476190476190476,0.619047619047619,NA,0,NA,0.476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19047619047619
"34",10,2006,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.409090909090909,0.681818181818182,0.636363636363636,NA,NA,NA,0.681818181818182,NA,0.636363636363636,NA,0.954545454545455,NA,0.363636363636364,NA,0.136363636363636,NA,0.545454545454545,NA,0.136363636363636,1,NA,NA,0.272727272727273,NA,NA,0.181818181818182,0.318181818181818,0.772727272727273,NA,NA,0.272727272727273,0.727272727272727,NA,0.181818181818182,NA,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227272727272727
"35",11,2006,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.136363636363636,0.409090909090909,0.727272727272727,0.454545454545455,NA,NA,NA,0.681818181818182,NA,0.636363636363636,NA,0.954545454545455,NA,0.318181818181818,NA,0.0454545454545455,NA,0.181818181818182,NA,0.136363636363636,1,NA,NA,0.409090909090909,NA,NA,0.0454545454545455,0.136363636363636,0.318181818181818,NA,NA,0.272727272727273,0.590909090909091,NA,0.0454545454545455,NA,0.409090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909
"36",12,2006,0.142857142857143,0.0952380952380952,0.0952380952380952,0.19047619047619,0.238095238095238,0.571428571428571,0.380952380952381,NA,NA,NA,0.857142857142857,NA,0.523809523809524,NA,0.952380952380952,NA,0.476190476190476,NA,0.19047619047619,NA,0.285714285714286,NA,0.238095238095238,1,NA,NA,0.238095238095238,NA,NA,0.142857142857143,0.333333333333333,0.428571428571429,NA,NA,0.19047619047619,0.857142857142857,NA,0.19047619047619,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333
"37",1,2007,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.260869565217391,0.782608695652174,0.130434782608696,NA,NA,NA,0.869565217391304,NA,0.347826086956522,NA,0.91304347826087,NA,0.478260869565217,NA,0.0869565217391304,NA,0.0869565217391304,NA,0.0434782608695652,1,NA,NA,0.347826086956522,NA,NA,0.0434782608695652,0.304347826086957,0.304347826086957,NA,NA,0.0434782608695652,0.434782608695652,NA,0.0869565217391304,NA,0.260869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261
"38",2,2007,0,0,0.05,0.05,0.35,0.7,0.1,NA,NA,NA,0.75,NA,0.2,NA,0.9,NA,0.05,NA,0.1,NA,0.15,NA,0.1,1,NA,NA,0.1,NA,NA,0.2,0.25,0.3,NA,NA,0.05,0.35,NA,0,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
"39",3,2007,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,0.590909090909091,0.863636363636364,0.181818181818182,NA,NA,NA,0.590909090909091,NA,0.272727272727273,NA,0.954545454545455,NA,0.181818181818182,NA,0.0909090909090909,NA,0.227272727272727,NA,0.181818181818182,1,NA,NA,0.227272727272727,NA,NA,0.0909090909090909,0.363636363636364,0.272727272727273,NA,NA,0.227272727272727,0.5,NA,0.136363636363636,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636363636
"40",4,2007,0.142857142857143,0.19047619047619,0.0952380952380952,0.19047619047619,0.285714285714286,0.857142857142857,0.0952380952380952,NA,NA,NA,0.428571428571429,NA,0.19047619047619,NA,0.80952380952381,NA,0.142857142857143,NA,0.142857142857143,NA,0.19047619047619,NA,0.19047619047619,1,NA,NA,0.19047619047619,NA,NA,0.142857142857143,0.380952380952381,0.476190476190476,NA,NA,0.0952380952380952,0.285714285714286,NA,0.142857142857143,NA,0.619047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"41",5,2007,0.0869565217391304,0.130434782608696,0.0869565217391304,0.217391304347826,0.304347826086957,0.782608695652174,0.130434782608696,NA,NA,NA,0.260869565217391,NA,0.304347826086957,NA,0.826086956521739,1,0.173913043478261,NA,0.130434782608696,NA,0.217391304347826,NA,0.130434782608696,1,NA,NA,0.217391304347826,NA,NA,0.0869565217391304,0.217391304347826,0.217391304347826,NA,NA,0.0869565217391304,0.521739130434783,NA,0.173913043478261,NA,0.260869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261
"42",6,2007,0.0476190476190476,0,0.0476190476190476,0,0.238095238095238,0.761904761904762,0.142857142857143,NA,NA,NA,0.238095238095238,NA,0.428571428571429,NA,0.904761904761905,1,0.142857142857143,NA,0,NA,0.238095238095238,NA,0.0476190476190476,1,NA,NA,0.142857142857143,NA,NA,0.0952380952380952,0.285714285714286,0.238095238095238,NA,NA,0,0.571428571428571,NA,0.0476190476190476,NA,0.238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19047619047619
