"","Group.1","Group.2","ENERGIJOS.SKIRSTYMO.OPERATORIUS","TELIA.LIETUVA","AGROWILL.GROUP","AMBER.GRID.AB","APRANGA","GRIGISKES","GUBERNIJA","INVALDA","INVL.BALTIC.FARM","INVL.TECHNOLOGY","K2.LT.AB","KAUNO.ENERGIJA","KLAIPEDOS.NAFTA","LIETUVOS.ENERGIJA","LINAS","LINAS.AGRO.GROUP","LITGRID","PANEVEZIO.STATYBOS.TTAS.","PIENO.ZVAIGZDES","ROKISKIO.SURIS","SIAULIU.BANKAS","SNAIGE","UTENOS.TRIKOTAZAS","VILKYSKIU.PIENINE","VILNIAUS.BALDU.KOMBINATA","VILNIAUS.DEGTINE","ZEMATIJOS.PIENAS"
"1",4,2003,1,0.6,1,1,1,0.4,1,0.4,1,1,1,1,1,1,0.4,1,1,1,1,1,1,0.4,0.8,1,0.8,0.4,0.8
"2",5,2003,NA,0.636363636363636,NA,NA,0.681818181818182,0.363636363636364,1,0.409090909090909,NA,NA,NA,1,0.318181818181818,NA,0.681818181818182,NA,NA,1,0.909090909090909,0.5,0.954545454545455,0.409090909090909,0.272727272727273,NA,0.227272727272727,0.545454545454545,0.545454545454545
"3",6,2003,NA,0.619047619047619,NA,NA,0.619047619047619,0.476190476190476,1,0.476190476190476,NA,NA,NA,1,0.714285714285714,NA,0.714285714285714,NA,NA,1,0.714285714285714,0.571428571428571,0.904761904761905,0.476190476190476,0.666666666666667,NA,0.380952380952381,0.761904761904762,0.761904761904762
"4",7,2003,NA,0.652173913043478,NA,NA,0.782608695652174,0.608695652173913,1,0.217391304347826,NA,NA,NA,1,0.695652173913043,NA,0.739130434782609,NA,NA,1,0.652173913043478,0.521739130434783,0.869565217391304,0.434782608695652,0.565217391304348,NA,0.217391304347826,1,0.739130434782609
"5",8,2003,NA,0.333333333333333,NA,NA,0.80952380952381,0.714285714285714,1,0.285714285714286,NA,NA,NA,0.952380952380952,0.428571428571429,NA,0.619047619047619,NA,NA,0.523809523809524,0.571428571428571,0.333333333333333,0.714285714285714,0.238095238095238,0.380952380952381,NA,0.333333333333333,0.952380952380952,0.761904761904762
"6",9,2003,NA,0.318181818181818,NA,NA,0.590909090909091,0.272727272727273,1,0.272727272727273,NA,NA,NA,1,0.590909090909091,NA,0.681818181818182,NA,NA,0.590909090909091,0.318181818181818,0.409090909090909,0.727272727272727,0.363636363636364,0.772727272727273,NA,0.318181818181818,0.772727272727273,0.5
"7",10,2003,NA,0.478260869565217,NA,NA,0.782608695652174,0.391304347826087,1,0.391304347826087,NA,NA,NA,1,0.565217391304348,NA,0.695652173913043,NA,NA,0.652173913043478,0.695652173913043,0.434782608695652,0.91304347826087,0.304347826086957,0.826086956521739,NA,0.217391304347826,0.91304347826087,0.739130434782609
"8",11,2003,NA,0.8,NA,NA,0.65,0.65,1,0.5,NA,NA,NA,1,0.5,NA,0.7,NA,NA,0.9,0.4,0.45,0.8,0.5,0.7,NA,0.35,0.85,0.5
"9",12,2003,NA,0.652173913043478,NA,NA,0.869565217391304,0.478260869565217,1,0.434782608695652,NA,NA,NA,1,0.739130434782609,NA,0.739130434782609,NA,NA,0.956521739130435,0.478260869565217,0.391304347826087,0.695652173913043,0.304347826086957,0.608695652173913,NA,0.347826086956522,0.91304347826087,0.521739130434783
"10",1,2004,NA,0.545454545454545,NA,NA,0.636363636363636,0.409090909090909,1,0.318181818181818,NA,NA,NA,1,0.318181818181818,NA,0.590909090909091,NA,NA,0.727272727272727,0.318181818181818,0.363636363636364,0.818181818181818,0.272727272727273,0.5,NA,0.136363636363636,0.954545454545455,0.590909090909091
"11",2,2004,NA,0.5,NA,NA,0.8,0.7,1,0.35,NA,NA,NA,1,0.75,NA,0.5,NA,NA,0.8,0.4,0.25,0.95,0.25,0.7,NA,0.35,1,0.25
"12",3,2004,NA,0.521739130434783,NA,NA,0.869565217391304,0.434782608695652,1,0.217391304347826,NA,NA,NA,1,0.652173913043478,NA,0.826086956521739,NA,NA,0.695652173913043,0.304347826086957,0.347826086956522,0.608695652173913,0.304347826086957,0.391304347826087,NA,0.304347826086957,0.91304347826087,0.478260869565217
"13",4,2004,NA,0.5,NA,NA,0.454545454545455,0.318181818181818,1,0.409090909090909,NA,NA,NA,1,0.5,NA,0.681818181818182,NA,NA,0.863636363636364,0.545454545454545,0.454545454545455,0.727272727272727,0.181818181818182,0.272727272727273,NA,0.5,1,0.363636363636364
"14",5,2004,NA,0.428571428571429,NA,NA,0.428571428571429,0.476190476190476,1,0.285714285714286,NA,NA,NA,1,0.523809523809524,NA,0.619047619047619,NA,NA,0.857142857142857,0.476190476190476,0.428571428571429,0.80952380952381,0.476190476190476,0.571428571428571,NA,0.333333333333333,0.952380952380952,0.571428571428571
"15",6,2004,NA,0.409090909090909,NA,NA,0.409090909090909,0.363636363636364,1,0.5,NA,NA,NA,1,0.727272727272727,NA,0.863636363636364,NA,NA,0.818181818181818,0.318181818181818,0.363636363636364,0.590909090909091,0.409090909090909,0.5,NA,0.454545454545455,1,0.545454545454545
"16",7,2004,NA,0.545454545454545,NA,NA,0.681818181818182,0.636363636363636,1,0.818181818181818,NA,NA,NA,1,0.863636363636364,NA,0.909090909090909,NA,NA,0.863636363636364,0.409090909090909,0.454545454545455,0.818181818181818,0.5,0.363636363636364,NA,0.772727272727273,0.909090909090909,0.636363636363636
"17",8,2004,NA,0.681818181818182,NA,NA,0.818181818181818,0.545454545454545,1,0.318181818181818,NA,NA,NA,1,0.727272727272727,NA,0.818181818181818,NA,NA,1,0.227272727272727,0.272727272727273,0.863636363636364,0.409090909090909,0.5,NA,0.545454545454545,1,0.681818181818182
"18",9,2004,NA,0.636363636363636,NA,NA,0.454545454545455,0.318181818181818,0.636363636363636,0.227272727272727,NA,NA,NA,1,0.909090909090909,NA,0.772727272727273,NA,NA,0.863636363636364,0.545454545454545,0.545454545454545,0.636363636363636,0.272727272727273,0.454545454545455,NA,0.136363636363636,0.954545454545455,0.5
"19",10,2004,NA,0.714285714285714,NA,NA,0.428571428571429,0.666666666666667,0.619047619047619,0.380952380952381,NA,NA,NA,0.952380952380952,0.619047619047619,NA,0.857142857142857,NA,NA,0.80952380952381,0.285714285714286,0.476190476190476,0.619047619047619,0.285714285714286,0.571428571428571,NA,0.428571428571429,0.904761904761905,0.80952380952381
"20",11,2004,NA,0.636363636363636,NA,NA,0.227272727272727,0.545454545454545,0.909090909090909,0.181818181818182,NA,NA,NA,1,0.772727272727273,NA,0.636363636363636,NA,NA,0.772727272727273,0.181818181818182,0.318181818181818,0.681818181818182,0.318181818181818,0.409090909090909,NA,0.363636363636364,0.818181818181818,0.454545454545455
"21",12,2004,NA,0.565217391304348,NA,NA,0.304347826086957,0.304347826086957,0.826086956521739,0.0869565217391304,NA,NA,NA,1,0.521739130434783,NA,0.478260869565217,NA,NA,0.739130434782609,0.391304347826087,0.217391304347826,0.869565217391304,0.0869565217391304,0.391304347826087,NA,0.217391304347826,0.565217391304348,0.652173913043478
"22",1,2005,NA,0.476190476190476,NA,NA,0.285714285714286,0.19047619047619,0.904761904761905,0.142857142857143,NA,NA,NA,0.952380952380952,0.666666666666667,NA,0.476190476190476,NA,NA,0.523809523809524,0.142857142857143,0.428571428571429,0.857142857142857,0.0476190476190476,0.523809523809524,NA,0.285714285714286,0.571428571428571,0.571428571428571
"23",2,2005,NA,0.65,NA,NA,0.2,0.3,0.95,0.1,NA,NA,NA,0.7,0.7,NA,0.25,NA,NA,0.15,0.45,0.45,0.55,0.25,0.5,NA,0.2,0.35,0.55
"24",3,2005,NA,0.565217391304348,NA,NA,0.347826086956522,0.434782608695652,0.608695652173913,0.304347826086957,NA,NA,NA,0.260869565217391,0.739130434782609,NA,0.652173913043478,NA,NA,0.260869565217391,0.652173913043478,0.608695652173913,0.608695652173913,0.260869565217391,0.173913043478261,NA,0.391304347826087,0.434782608695652,0.565217391304348
"25",4,2005,NA,0.571428571428571,NA,NA,0.476190476190476,0.523809523809524,0.619047619047619,0.142857142857143,NA,NA,NA,0.571428571428571,0.666666666666667,NA,0.666666666666667,NA,NA,0.571428571428571,0.285714285714286,0.428571428571429,0.857142857142857,0.238095238095238,0.238095238095238,NA,0.19047619047619,0.571428571428571,0.428571428571429
"26",5,2005,NA,0.5,NA,NA,0.454545454545455,0.636363636363636,0.636363636363636,0.227272727272727,NA,NA,NA,0.545454545454545,0.727272727272727,NA,0.681818181818182,NA,NA,0.727272727272727,0.409090909090909,0.318181818181818,0.681818181818182,0.272727272727273,0.727272727272727,NA,0.272727272727273,0.863636363636364,0.409090909090909
"27",6,2005,NA,0.772727272727273,NA,NA,0.772727272727273,0.545454545454545,0.636363636363636,0.227272727272727,NA,NA,NA,0.727272727272727,0.772727272727273,NA,0.681818181818182,NA,NA,0.272727272727273,0.727272727272727,0.363636363636364,0.636363636363636,0.272727272727273,0.590909090909091,NA,0.227272727272727,0.818181818181818,0.272727272727273
"28",7,2005,NA,0.523809523809524,NA,NA,0.571428571428571,0.619047619047619,0.285714285714286,0.333333333333333,NA,NA,NA,0.428571428571429,0.761904761904762,NA,0.952380952380952,NA,NA,0.285714285714286,0.666666666666667,0.619047619047619,0.619047619047619,0.428571428571429,0.714285714285714,NA,0.428571428571429,0.714285714285714,0.380952380952381
"29",8,2005,NA,0.565217391304348,NA,NA,0.347826086956522,0.521739130434783,0.260869565217391,0.217391304347826,NA,NA,NA,0.478260869565217,0.739130434782609,NA,0.826086956521739,NA,NA,0.130434782608696,0.695652173913043,0.608695652173913,0.521739130434783,0.347826086956522,0.478260869565217,NA,0.304347826086957,0.608695652173913,0.521739130434783
"30",9,2005,NA,0.363636363636364,NA,NA,0.181818181818182,0.363636363636364,0.545454545454545,0.227272727272727,NA,NA,NA,0.5,0.681818181818182,NA,0.318181818181818,NA,NA,0.363636363636364,0.681818181818182,0.409090909090909,0.5,0.0909090909090909,0.363636363636364,NA,0.0454545454545455,0.863636363636364,0.409090909090909
"31",10,2005,NA,0.380952380952381,NA,NA,0.19047619047619,0.619047619047619,0.619047619047619,0.0952380952380952,NA,NA,NA,0.619047619047619,0.857142857142857,NA,0.428571428571429,NA,NA,0.428571428571429,0.619047619047619,0.571428571428571,0.523809523809524,0.333333333333333,0.380952380952381,NA,0.476190476190476,0.714285714285714,0.285714285714286
"32",11,2005,NA,0.590909090909091,NA,NA,0.545454545454545,0.772727272727273,0.727272727272727,0.227272727272727,NA,NA,NA,0.681818181818182,0.727272727272727,NA,0.318181818181818,NA,NA,0.318181818181818,0.590909090909091,0.227272727272727,0.545454545454545,0.409090909090909,0.590909090909091,NA,0.636363636363636,0.863636363636364,0.590909090909091
"33",12,2005,NA,0.772727272727273,NA,NA,0.590909090909091,0.681818181818182,0.363636363636364,0.136363636363636,NA,NA,NA,0.772727272727273,0.909090909090909,NA,0.5,NA,NA,0.363636363636364,0.5,0.590909090909091,0.681818181818182,0.454545454545455,0.409090909090909,NA,0.545454545454545,1,0.545454545454545
"34",1,2006,NA,0.545454545454545,NA,NA,0.227272727272727,0.5,0.590909090909091,0.0454545454545455,NA,NA,NA,0.681818181818182,0.772727272727273,NA,0.636363636363636,NA,NA,0.227272727272727,0.545454545454545,0.636363636363636,0.636363636363636,0.5,0.636363636363636,NA,0.681818181818182,0.681818181818182,0.727272727272727
"35",2,2006,NA,0.4,NA,NA,0.15,0.4,0.8,0.15,NA,NA,NA,0.6,0.75,NA,0.65,NA,NA,0.5,0.4,0.5,0.5,0.4,0.55,NA,0.6,0.7,0.65
"36",3,2006,NA,0.478260869565217,NA,NA,0.217391304347826,0.478260869565217,0.91304347826087,0.260869565217391,NA,NA,NA,0.782608695652174,0.695652173913043,NA,0.608695652173913,NA,NA,0.173913043478261,0.434782608695652,0.565217391304348,0.869565217391304,0.521739130434783,0.478260869565217,NA,0.434782608695652,0.739130434782609,0.565217391304348
"37",4,2006,NA,0.4,NA,NA,0.4,0.45,0.75,0.35,NA,NA,NA,0.85,0.95,NA,0.7,NA,NA,0.35,0.55,0.65,0.6,0.5,0.75,NA,0.5,0.85,0.55
"38",5,2006,NA,0.391304347826087,NA,NA,0.478260869565217,0.434782608695652,0.956521739130435,0.173913043478261,NA,NA,NA,0.869565217391304,0.652173913043478,NA,0.478260869565217,NA,NA,0.304347826086957,0.521739130434783,0.521739130434783,0.652173913043478,0.478260869565217,0.478260869565217,0.7,0.565217391304348,0.739130434782609,0.782608695652174
"39",6,2006,NA,0.545454545454545,NA,NA,0.363636363636364,0.5,0.772727272727273,0.272727272727273,NA,NA,NA,0.909090909090909,0.5,NA,0.681818181818182,NA,NA,0.227272727272727,0.681818181818182,0.545454545454545,0.454545454545455,0.454545454545455,0.863636363636364,0.772727272727273,0.409090909090909,0.818181818181818,0.727272727272727
"40",7,2006,NA,0.571428571428571,NA,NA,0.142857142857143,0.380952380952381,0.761904761904762,0.238095238095238,NA,NA,NA,0.952380952380952,0.80952380952381,NA,0.523809523809524,NA,NA,0.142857142857143,0.952380952380952,0.571428571428571,0.857142857142857,0.333333333333333,0.666666666666667,0.904761904761905,0.619047619047619,0.761904761904762,0.761904761904762
"41",8,2006,NA,0.434782608695652,NA,NA,0.391304347826087,0.521739130434783,0.695652173913043,0.217391304347826,NA,NA,NA,0.739130434782609,0.652173913043478,NA,0.652173913043478,NA,NA,0.565217391304348,0.608695652173913,0.565217391304348,0.608695652173913,0.521739130434783,0.695652173913043,0.826086956521739,0.782608695652174,0.521739130434783,0.608695652173913
"42",9,2006,NA,0.380952380952381,NA,NA,0.142857142857143,0.523809523809524,0.857142857142857,0.142857142857143,NA,NA,NA,0.476190476190476,0.857142857142857,NA,0.857142857142857,NA,NA,0.142857142857143,0.523809523809524,0.476190476190476,0.714285714285714,0.285714285714286,0.571428571428571,0.666666666666667,0.619047619047619,0.761904761904762,0.666666666666667
"43",10,2006,NA,0.5,NA,NA,0.318181818181818,0.636363636363636,0.545454545454545,0.272727272727273,NA,NA,NA,0.818181818181818,0.681818181818182,NA,0.954545454545455,NA,NA,0.0454545454545455,0.772727272727273,0.363636363636364,0.772727272727273,0.363636363636364,0.545454545454545,0.818181818181818,0.681818181818182,0.545454545454545,0.727272727272727
"44",11,2006,NA,0.454545454545455,NA,NA,0.136363636363636,0.363636363636364,0.636363636363636,0.0909090909090909,NA,NA,NA,0.5,0.681818181818182,NA,0.909090909090909,NA,NA,0.272727272727273,0.454545454545455,0.590909090909091,0.590909090909091,0.227272727272727,0.545454545454545,0.727272727272727,0.818181818181818,0.5,0.636363636363636
"45",12,2006,NA,0.380952380952381,NA,NA,0.238095238095238,0.428571428571429,0.714285714285714,0.19047619047619,NA,NA,NA,0.571428571428571,0.80952380952381,NA,1,NA,NA,0.285714285714286,0.333333333333333,0.380952380952381,0.619047619047619,0.285714285714286,0.523809523809524,0.904761904761905,0.619047619047619,0.523809523809524,0.285714285714286
"46",1,2007,NA,0.521739130434783,NA,NA,0.0869565217391304,0.478260869565217,0.521739130434783,0.130434782608696,NA,NA,NA,0.391304347826087,0.782608695652174,NA,1,NA,NA,0.130434782608696,0.260869565217391,0.478260869565217,0.347826086956522,0.304347826086957,0.391304347826087,0.782608695652174,0.130434782608696,0.521739130434783,0.391304347826087
"47",2,2007,NA,0.3,NA,NA,0.05,0.6,0.7,0.15,NA,NA,NA,0.7,0.9,NA,0.8,NA,NA,0.15,0.5,0.15,0.7,0.35,0.55,0.55,0.6,0.45,0.5
"48",3,2007,NA,0.181818181818182,NA,NA,0.136363636363636,0.5,0.636363636363636,0.272727272727273,NA,NA,NA,0.863636363636364,0.590909090909091,NA,0.636363636363636,NA,NA,0.136363636363636,0.5,0.409090909090909,0.545454545454545,0.545454545454545,0.818181818181818,0.727272727272727,0.818181818181818,0.636363636363636,0.636363636363636
"49",4,2007,NA,0.571428571428571,NA,NA,0.333333333333333,0.523809523809524,0.428571428571429,0.333333333333333,NA,NA,NA,1,0.761904761904762,NA,0.904761904761905,NA,NA,0.428571428571429,0.666666666666667,0.523809523809524,0.761904761904762,0.619047619047619,0.666666666666667,0.761904761904762,0.619047619047619,0.571428571428571,0.523809523809524
"50",5,2007,NA,0.565217391304348,NA,NA,0.347826086956522,0.478260869565217,0.478260869565217,0.304347826086957,NA,NA,NA,0.956521739130435,0.782608695652174,NA,0.91304347826087,NA,NA,0.304347826086957,0.434782608695652,0.304347826086957,0.695652173913043,0.608695652173913,0.739130434782609,0.739130434782609,0.869565217391304,0.695652173913043,0.652173913043478
"51",6,2007,NA,0.619047619047619,NA,NA,0.142857142857143,0.428571428571429,0.523809523809524,0.142857142857143,NA,NA,NA,0.904761904761905,0.80952380952381,NA,0.333333333333333,NA,NA,0.238095238095238,0.380952380952381,0.571428571428571,0.523809523809524,0.428571428571429,0.666666666666667,0.714285714285714,0.714285714285714,0.666666666666667,0.761904761904762
"52",7,2007,NA,0.272727272727273,NA,NA,0.181818181818182,0.545454545454545,0.590909090909091,0.0909090909090909,NA,NA,NA,0.727272727272727,0.636363636363636,NA,0.818181818181818,NA,NA,0.0909090909090909,0.545454545454545,0.363636363636364,0.545454545454545,0.363636363636364,0.636363636363636,0.727272727272727,0.5,0.454545454545455,0.545454545454545
"53",8,2007,NA,0.521739130434783,NA,NA,0.260869565217391,0.652173913043478,0.565217391304348,0.0434782608695652,NA,NA,NA,0.695652173913043,0.826086956521739,NA,0.91304347826087,NA,NA,0.217391304347826,0.173913043478261,0.521739130434783,0.739130434782609,0.565217391304348,0.826086956521739,0.739130434782609,0.608695652173913,0.565217391304348,0.173913043478261
"54",9,2007,NA,0.6,NA,NA,0,0.6,0.65,0.15,NA,NA,NA,0.65,0.65,NA,1,NA,NA,0.1,0.2,0.4,0.9,0.55,0.95,0.4,0.65,1,0.3
"55",10,2007,NA,0.565217391304348,NA,NA,0.260869565217391,0.434782608695652,0.478260869565217,0.0869565217391304,NA,NA,NA,0.565217391304348,0.91304347826087,NA,1,NA,NA,0.130434782608696,0.260869565217391,0.391304347826087,0.695652173913043,0.260869565217391,0.391304347826087,0.521739130434783,0.434782608695652,0.608695652173913,0.521739130434783
"56",11,2007,NA,0.5,NA,NA,0.136363636363636,0.636363636363636,0.545454545454545,0.181818181818182,NA,NA,NA,0.863636363636364,0.909090909090909,NA,0.681818181818182,NA,NA,0.272727272727273,0.363636363636364,0.5,0.636363636363636,0.545454545454545,0.681818181818182,0.363636363636364,0.409090909090909,0.590909090909091,0.5
"57",12,2007,NA,0.476190476190476,NA,NA,0.19047619047619,0.80952380952381,0.666666666666667,0.333333333333333,NA,NA,NA,0.857142857142857,0.666666666666667,NA,0.80952380952381,NA,NA,0.333333333333333,0.428571428571429,0.619047619047619,0.619047619047619,0.714285714285714,0.476190476190476,0.428571428571429,0.80952380952381,0.714285714285714,0.523809523809524
"58",1,2008,NA,0.521739130434783,NA,NA,0.0869565217391304,0.695652173913043,0.739130434782609,0.391304347826087,NA,NA,NA,0.608695652173913,0.652173913043478,NA,0.869565217391304,NA,NA,0.0869565217391304,0.434782608695652,0.173913043478261,0.652173913043478,0.608695652173913,0.478260869565217,0.304347826086957,0.695652173913043,0.739130434782609,0.434782608695652
"59",2,2008,NA,0.380952380952381,NA,NA,0.0476190476190476,0.714285714285714,0.619047619047619,0.142857142857143,NA,NA,NA,0.761904761904762,0.80952380952381,NA,1,NA,NA,0.0476190476190476,0.476190476190476,0.571428571428571,0.666666666666667,0.571428571428571,0.380952380952381,0.142857142857143,0.619047619047619,0.857142857142857,0.666666666666667
"60",3,2008,NA,0.523809523809524,NA,NA,0.285714285714286,0.523809523809524,0.761904761904762,0.380952380952381,NA,NA,NA,0.904761904761905,0.904761904761905,NA,1,NA,NA,0.333333333333333,0.571428571428571,0.476190476190476,0.761904761904762,0.476190476190476,0.476190476190476,0.428571428571429,0.666666666666667,0.80952380952381,0.904761904761905
"61",4,2008,NA,0.5,1,NA,0.181818181818182,0.727272727272727,1,0.227272727272727,NA,NA,NA,0.681818181818182,0.909090909090909,NA,0.636363636363636,NA,NA,0.0909090909090909,0.727272727272727,0.227272727272727,0.363636363636364,0.363636363636364,0.772727272727273,0.363636363636364,0.727272727272727,0.818181818181818,0.363636363636364
"62",5,2008,NA,0.5,0.636363636363636,NA,0.136363636363636,0.727272727272727,0.818181818181818,0.318181818181818,NA,NA,NA,0.772727272727273,0.818181818181818,NA,0.818181818181818,NA,NA,0.272727272727273,0.545454545454545,0.545454545454545,0.590909090909091,0.409090909090909,0.590909090909091,0.318181818181818,1,0.772727272727273,0.5
"63",6,2008,NA,0.523809523809524,0.428571428571429,NA,0.142857142857143,0.523809523809524,0.761904761904762,0.19047619047619,NA,NA,NA,0.857142857142857,0.666666666666667,NA,0.666666666666667,NA,NA,0.238095238095238,0.571428571428571,0.523809523809524,0.666666666666667,0.666666666666667,0.714285714285714,0.380952380952381,0.80952380952381,0.904761904761905,0.523809523809524
