"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"1",1,2004,0.0909090909090909,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636363636,0.0909090909090909,NA,NA,NA,0.181818181818182,NA,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2004,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,0.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2004,0.0434782608695652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304,0.0434782608695652,NA,NA,NA,0.0869565217391304,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2004,0.181818181818182,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.181818181818182,NA,NA,NA,0.136363636363636,NA,NA,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2004,0.0476190476190476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476,0.0476190476190476,NA,NA,NA,0,NA,NA,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2004,0.0909090909090909,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181818181818182,0.136363636363636,NA,NA,NA,0.0909090909090909,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2004,0.0454545454545455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,0.0454545454545455,NA,NA,NA,0.0909090909090909,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.0909090909090909,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,0.181818181818182,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2004,0.0952380952380952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19047619047619,0.0952380952380952,NA,NA,NA,0.238095238095238,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,2004,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,0.227272727272727,NA,NA,NA,0.181818181818182,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,2004,0.173913043478261,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.0869565217391304,NA,NA,NA,0.173913043478261,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952,0.0476190476190476,NA,NA,NA,0.0476190476190476,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2,2005,0.15,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.05,NA,NA,NA,0.05,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3,2005,0.0434782608695652,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260869565217391,0.0434782608695652,NA,NA,NA,0.173913043478261,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,2005,0.0476190476190476,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952,0.0476190476190476,NA,NA,NA,0.142857142857143,NA,NA,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",5,2005,0.0909090909090909,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363636363636364,0.0909090909090909,NA,NA,NA,0.0454545454545455,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",6,2005,0.136363636363636,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.181818181818182,NA,NA,NA,0.0909090909090909,NA,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8,2005,0.0434782608695652,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304,0.130434782608696,NA,NA,NA,0.130434782608696,NA,NA,0.0869565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",9,2005,0,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",10,2005,0.0476190476190476,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952380952380952,0.0476190476190476,NA,NA,NA,0.0952380952380952,NA,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",11,2005,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227272727272727,0.181818181818182,NA,NA,NA,0.136363636363636,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",12,2005,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181818181818182,0.0909090909090909,NA,NA,NA,0.0909090909090909,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,2006,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.0909090909090909,NA,NA,NA,0.136363636363636,NA,NA,0.0454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2,2006,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,NA,NA,NA,0.05,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",3,2006,0.0434782608695652,0,NA,NA,0.954545454545455,0.318181818181818,NA,0.818181818181818,1,0.0454545454545455,1,0.888888888888889,0.130434782608696,0.130434782608696,0.761904761904762,NA,NA,0,1,0.857142857142857,0,0.818181818181818,0.916666666666667,1,NA,NA,NA,0.136363636363636,0.636363636363636,NA,0
"28",4,2006,0.1,0.1,NA,NA,1,0.35,NA,0.8,0.95,0.15,0.8,0.95,0.15,0.1,0.85,0.882352941176471,NA,0.25,0.6,0.7,0.1,0.85,0.9,0.8,NA,0.176470588235294,NA,0.25,0.9,NA,0.95
"29",5,2006,0.0869565217391304,0.0869565217391304,NA,NA,0.869565217391304,0.391304347826087,NA,0.782608695652174,1,0.130434782608696,0.91304347826087,0.91304347826087,0.0869565217391304,0.130434782608696,0.826086956521739,1,NA,0.0869565217391304,0.869565217391304,0.695652173913043,0.0869565217391304,0.869565217391304,0.956521739130435,0.956521739130435,NA,0.478260869565217,NA,0.347826086956522,0.695652173913043,NA,1
"30",6,2006,0.0454545454545455,0,NA,NA,0.863636363636364,0.363636363636364,NA,0.818181818181818,1,0,0.863636363636364,0.954545454545455,0.0909090909090909,0.227272727272727,0.909090909090909,0.954545454545455,NA,0.0454545454545455,0.909090909090909,0.818181818181818,0,0.863636363636364,0.909090909090909,1,NA,0.5,NA,0.5,0.818181818181818,NA,1
"31",7,2006,0.0476190476190476,0,NA,NA,0.857142857142857,0.380952380952381,NA,0.857142857142857,0.952380952380952,0.0476190476190476,0.857142857142857,1,0.0476190476190476,0.0952380952380952,0.857142857142857,0.952380952380952,NA,0.142857142857143,0.904761904761905,0.904761904761905,0.0476190476190476,0.80952380952381,1,1,NA,0.428571428571429,NA,0.571428571428571,0.904761904761905,NA,1
"32",8,2006,0.0434782608695652,0.130434782608696,NA,NA,0.782608695652174,0.434782608695652,NA,0.956521739130435,0.956521739130435,0.130434782608696,0.869565217391304,0.91304347826087,0.217391304347826,0.0434782608695652,0.91304347826087,0.956521739130435,NA,0.130434782608696,0.608695652173913,0.869565217391304,0.0434782608695652,0.826086956521739,0.956521739130435,1,NA,0.521739130434783,NA,0.304347826086957,0.826086956521739,NA,0.91304347826087
"33",9,2006,0,0,NA,NA,0.761904761904762,0.619047619047619,NA,0.80952380952381,0.857142857142857,0.0476190476190476,0.761904761904762,0.952380952380952,0.0476190476190476,0.142857142857143,0.619047619047619,0.952380952380952,NA,0.0476190476190476,0.761904761904762,0.761904761904762,0.0476190476190476,0.904761904761905,0.952380952380952,1,NA,0.476190476190476,NA,0.476190476190476,0.80952380952381,NA,1
"34",10,2006,0.0909090909090909,0.0454545454545455,0.0476190476190476,NA,0.772727272727273,0.363636363636364,NA,0.818181818181818,0.818181818181818,0.136363636363636,0.954545454545455,1,0.181818181818182,0.136363636363636,0.818181818181818,1,NA,0.0454545454545455,0.727272727272727,0.818181818181818,0.0454545454545455,0.863636363636364,0.954545454545455,0.954545454545455,NA,0.272727272727273,NA,0.454545454545455,1,NA,0.909090909090909
"35",11,2006,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,0.727272727272727,0.272727272727273,NA,0.863636363636364,0.909090909090909,0.136363636363636,0.818181818181818,0.954545454545455,0.318181818181818,0.318181818181818,0.636363636363636,0.909090909090909,NA,0.136363636363636,0.818181818181818,0.681818181818182,0.0454545454545455,0.772727272727273,0.954545454545455,0.954545454545455,NA,0.5,NA,0.545454545454545,0.863636363636364,NA,0.818181818181818
"36",12,2006,0.19047619047619,0.19047619047619,0.19047619047619,NA,0.714285714285714,0.333333333333333,NA,0.857142857142857,1,0.19047619047619,0.904761904761905,1,0.238095238095238,0.19047619047619,0.761904761904762,1,NA,0.19047619047619,0.904761904761905,0.761904761904762,0.19047619047619,0.476190476190476,0.904761904761905,0.857142857142857,NA,0.333333333333333,NA,0.285714285714286,0.952380952380952,NA,1
"37",1,2007,0.0869565217391304,0.0869565217391304,0.0869565217391304,NA,0.869565217391304,0.304347826086957,NA,0.652173913043478,0.956521739130435,0.0869565217391304,0.826086956521739,1,0.0869565217391304,0.130434782608696,0.956521739130435,0.782608695652174,NA,0.0869565217391304,0.521739130434783,0.956521739130435,0.0869565217391304,0.739130434782609,1,0.91304347826087,NA,0.521739130434783,NA,0.391304347826087,1,NA,1
"38",2,2007,0.05,0.05,0.05,NA,0.65,0.2,NA,0.7,0.9,0.05,0.85,0.9,0.15,0.05,0.8,0.95,NA,0.15,0.75,1,0.15,0.9,1,0.9,NA,0.35,NA,0.35,0.85,NA,0.85
"39",3,2007,0,0,0,NA,0.590909090909091,0.590909090909091,NA,0.863636363636364,0.954545454545455,0.0454545454545455,0.681818181818182,0.863636363636364,0.0909090909090909,0.0909090909090909,0.863636363636364,0.954545454545455,NA,0,0.818181818181818,0.909090909090909,0,0.863636363636364,1,1,NA,0.409090909090909,NA,0.454545454545455,0.954545454545455,NA,0.727272727272727
"40",4,2007,0.19047619047619,0.142857142857143,0.142857142857143,NA,0.571428571428571,0.380952380952381,NA,0.714285714285714,1,0.142857142857143,0.904761904761905,0.761904761904762,0.142857142857143,0.142857142857143,0.904761904761905,1,NA,0.142857142857143,0.952380952380952,0.666666666666667,0.142857142857143,0.761904761904762,0.904761904761905,0.904761904761905,NA,0.333333333333333,NA,0.571428571428571,0.952380952380952,NA,0.857142857142857
"41",5,2007,0.0869565217391304,0.0869565217391304,0.0869565217391304,NA,0.739130434782609,0.304347826086957,NA,0.956521739130435,0.91304347826087,0.0869565217391304,0.826086956521739,0.869565217391304,0.130434782608696,0.0869565217391304,0.695652173913043,1,NA,0.0869565217391304,0.826086956521739,0.826086956521739,0.0869565217391304,0.782608695652174,0.956521739130435,0.826086956521739,NA,0.347826086956522,NA,0.521739130434783,0.956521739130435,NA,0.739130434782609
"42",6,2007,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.80952380952381,0.238095238095238,NA,0.952380952380952,0.952380952380952,0.19047619047619,0.857142857142857,0.80952380952381,0.0952380952380952,0.0476190476190476,0.714285714285714,0.952380952380952,NA,0.0476190476190476,0.619047619047619,1,0.0952380952380952,0.952380952380952,1,1,NA,0.285714285714286,NA,0.666666666666667,1,NA,0.714285714285714
"43",7,2007,0,0,0,NA,0.590909090909091,0.272727272727273,NA,0.772727272727273,0.954545454545455,0,0.681818181818182,0.863636363636364,0.0454545454545455,0,0.636363636363636,0.318181818181818,NA,0,0.772727272727273,0.818181818181818,0,0.954545454545455,1,0.954545454545455,NA,0.318181818181818,NA,0.318181818181818,0.772727272727273,NA,0.818181818181818
"44",8,2007,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,0.826086956521739,0.565217391304348,NA,0.782608695652174,0.91304347826087,0.0434782608695652,0.782608695652174,0.782608695652174,0.0869565217391304,0.0434782608695652,0.695652173913043,0.608695652173913,NA,0.0434782608695652,0.826086956521739,0.826086956521739,0.0434782608695652,0.91304347826087,1,0.956521739130435,NA,0.521739130434783,NA,0.391304347826087,0.956521739130435,NA,0.91304347826087
"45",9,2007,0,0,0,NA,0.85,0.45,NA,0.7,0.85,0,0.8,0.95,0.1,0,0.9,0.85,NA,0.05,1,0.8,0,0.85,1,0.9,NA,0.25,NA,0.55,0.95,NA,0.9
"46",10,2007,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,0.869565217391304,0.565217391304348,NA,0.782608695652174,0.91304347826087,0.0869565217391304,0.652173913043478,1,0.0869565217391304,0.0434782608695652,1,0.956521739130435,NA,0.0869565217391304,1,0.956521739130435,0.0869565217391304,0.869565217391304,0.956521739130435,0.91304347826087,NA,0.434782608695652,NA,0.565217391304348,0.869565217391304,NA,0.826086956521739
"47",11,2007,0.0909090909090909,0.136363636363636,0.0454545454545455,NA,0.727272727272727,0.636363636363636,NA,0.909090909090909,1,0.136363636363636,0.681818181818182,1,0.0454545454545455,0.0909090909090909,0.954545454545455,0.818181818181818,NA,0.0454545454545455,0.954545454545455,0.954545454545455,0.0909090909090909,0.909090909090909,1,0.954545454545455,NA,0.363636363636364,NA,0.545454545454545,0.863636363636364,NA,0.863636363636364
"48",12,2007,0.238095238095238,0.19047619047619,0.238095238095238,NA,0.666666666666667,0.666666666666667,NA,0.714285714285714,1,0.142857142857143,0.904761904761905,0.952380952380952,0.19047619047619,0.142857142857143,0.761904761904762,0.857142857142857,NA,0.142857142857143,0.333333333333333,0.904761904761905,0.142857142857143,0.80952380952381,1,0.904761904761905,NA,0.666666666666667,NA,0.761904761904762,0.904761904761905,NA,0.80952380952381
"49",1,2008,0.0869565217391304,0.130434782608696,0.130434782608696,NA,0.826086956521739,0.652173913043478,NA,0.869565217391304,1,0.0869565217391304,0.869565217391304,0.91304347826087,0.173913043478261,0.130434782608696,0.739130434782609,1,NA,0.0869565217391304,0.260869565217391,1,0.0869565217391304,0.956521739130435,1,1,NA,0.478260869565217,NA,0.608695652173913,0.826086956521739,NA,0.869565217391304
"50",2,2008,0.0476190476190476,0.0476190476190476,0.0476190476190476,NA,0.904761904761905,0.619047619047619,NA,0.952380952380952,0.952380952380952,0.0952380952380952,0.904761904761905,0.904761904761905,0.0952380952380952,0.0952380952380952,0.952380952380952,0.952380952380952,NA,0.0952380952380952,0.523809523809524,0.904761904761905,0.0476190476190476,0.952380952380952,1,1,NA,0.761904761904762,NA,1,0.952380952380952,NA,0.761904761904762
"51",3,2008,0.142857142857143,0.0952380952380952,0.0952380952380952,NA,0.80952380952381,0.619047619047619,NA,0.904761904761905,1,0.0952380952380952,0.857142857142857,0.857142857142857,0.142857142857143,0.0952380952380952,0.904761904761905,1,NA,0.19047619047619,0.761904761904762,0.952380952380952,0.0952380952380952,0.952380952380952,0.952380952380952,1,NA,0.523809523809524,0.555555555555556,0.904761904761905,0.952380952380952,NA,0.523809523809524
"52",4,2008,0.0454545454545455,0.0454545454545455,0.0909090909090909,NA,0.954545454545455,0.681818181818182,NA,0.909090909090909,1,0,0.863636363636364,0.909090909090909,0.0454545454545455,0.0909090909090909,0.954545454545455,1,NA,0.0454545454545455,0.636363636363636,0.954545454545455,0.0909090909090909,0.954545454545455,1,1,NA,0.363636363636364,0.909090909090909,0.863636363636364,0.772727272727273,NA,0.772727272727273
"53",5,2008,0.181818181818182,0.136363636363636,0.136363636363636,NA,0.863636363636364,0.5,NA,1,0.954545454545455,0.0909090909090909,0.954545454545455,1,0.136363636363636,0.0909090909090909,0.954545454545455,0.954545454545455,NA,0.136363636363636,0.909090909090909,0.909090909090909,0.181818181818182,1,0.954545454545455,1,NA,0.590909090909091,0.863636363636364,0.954545454545455,0.954545454545455,NA,0.681818181818182
"54",6,2008,0.142857142857143,0.142857142857143,0.0476190476190476,NA,0.761904761904762,0.666666666666667,NA,0.952380952380952,0.761904761904762,0.0952380952380952,0.857142857142857,1,0.142857142857143,0.142857142857143,1,1,NA,0.19047619047619,0.952380952380952,0.952380952380952,0.0476190476190476,0.952380952380952,1,0.904761904761905,0.25,0.80952380952381,0.619047619047619,0.904761904761905,1,NA,0.904761904761905
"55",7,2008,0,0.0434782608695652,0,NA,0.826086956521739,0.478260869565217,0.652173913043478,0.869565217391304,0.956521739130435,0.130434782608696,0.956521739130435,0.956521739130435,0.173913043478261,0,0.91304347826087,1,0.391304347826087,0.130434782608696,1,0.956521739130435,0.0434782608695652,0.956521739130435,1,1,0.173913043478261,0.956521739130435,0.652173913043478,0.91304347826087,0.782608695652174,NA,0.826086956521739
"56",8,2008,0.0952380952380952,0.142857142857143,0.0952380952380952,NA,0.904761904761905,0.523809523809524,0.714285714285714,0.904761904761905,0.904761904761905,0.0952380952380952,1,1,0.285714285714286,0.142857142857143,0.952380952380952,1,0.714285714285714,0.142857142857143,1,0.952380952380952,0.0476190476190476,1,1,0.904761904761905,0.380952380952381,0.80952380952381,0.666666666666667,0.761904761904762,0.952380952380952,NA,0.952380952380952
"57",9,2008,0.0454545454545455,0,0,0.4,0.909090909090909,0.681818181818182,1,0.909090909090909,0.727272727272727,0.0454545454545455,0.954545454545455,1,0.0909090909090909,0.0454545454545455,0.909090909090909,0.954545454545455,0.272727272727273,0.0909090909090909,1,0.818181818181818,0.0454545454545455,1,0.954545454545455,0.954545454545455,0.0454545454545455,0.590909090909091,0.727272727272727,0.772727272727273,0.954545454545455,NA,0.909090909090909
"58",10,2008,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0434782608695652,1,0.91304347826087,1,1,0.956521739130435,0.0869565217391304,0.956521739130435,0.956521739130435,0.0434782608695652,0.0434782608695652,0.782608695652174,1,0.173913043478261,0.0869565217391304,1,0.956521739130435,0.0434782608695652,1,1,0.956521739130435,0.0869565217391304,0.695652173913043,0.782608695652174,0.347826086956522,0.956521739130435,NA,0.782608695652174
"59",11,2008,0,0,0.05,0.1,0.95,0.45,0.8,0.95,1,0.05,0.95,1,0,0.05,0.95,1,0.2,0.15,1,1,0.1,1,1,0.95,0.1,0.7,0.8,0.45,0.95,NA,0.8
"60",12,2008,0.217391304347826,0.217391304347826,0.173913043478261,0.347826086956522,0.956521739130435,0.91304347826087,0.956521739130435,0.91304347826087,1,0.304347826086957,0.869565217391304,0.91304347826087,0.173913043478261,0.173913043478261,0.782608695652174,1,0.652173913043478,0.173913043478261,0.869565217391304,0.956521739130435,0.173913043478261,1,1,0.91304347826087,0.217391304347826,0.826086956521739,0.826086956521739,0.347826086956522,1,NA,0.869565217391304
"61",1,2009,0.0909090909090909,0.136363636363636,0.136363636363636,0.0909090909090909,0.909090909090909,0.818181818181818,1,0.818181818181818,0.954545454545455,0.227272727272727,0.954545454545455,0.954545454545455,0.272727272727273,0.136363636363636,1,1,0.818181818181818,0.272727272727273,0.909090909090909,1,0.0909090909090909,1,1,1,0.227272727272727,0.727272727272727,0.818181818181818,1,1,NA,0.863636363636364
"62",2,2009,0,0,0,0.2,1,1,0.95,1,1,0.1,0.9,0.9,0.1,0.25,0.9,0.95,0.65,0.1,0.7,1,0.05,0.95,1,1,0.2,0.8,0.6,1,0.95,NA,1
"63",3,2009,0,0.0454545454545455,0.0454545454545455,0,0.954545454545455,0.954545454545455,1,0.909090909090909,1,0,0.909090909090909,1,0.136363636363636,0.363636363636364,0.863636363636364,1,0.909090909090909,0,0.909090909090909,1,0,1,1,1,0.227272727272727,0.863636363636364,0.772727272727273,1,0.954545454545455,NA,1
"64",4,2009,0.136363636363636,0.318181818181818,0.181818181818182,0.136363636363636,0.909090909090909,0.772727272727273,1,0.954545454545455,0.954545454545455,0.318181818181818,0.863636363636364,0.954545454545455,0.227272727272727,0.545454545454545,0.909090909090909,1,1,0.227272727272727,0.909090909090909,0.954545454545455,0.272727272727273,1,1,1,0.5,0.818181818181818,0.863636363636364,1,0.863636363636364,NA,1
"65",5,2009,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.857142857142857,0.380952380952381,1,0.904761904761905,0.761904761904762,0.0476190476190476,0.857142857142857,0.952380952380952,0.19047619047619,0.0476190476190476,0.952380952380952,0.714285714285714,0.619047619047619,0.0476190476190476,0.952380952380952,1,0.142857142857143,1,1,1,0.0952380952380952,0.523809523809524,1,0.857142857142857,1,NA,0.952380952380952
"66",6,2009,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.727272727272727,0.681818181818182,0.954545454545455,1,1,0.136363636363636,0.909090909090909,0.863636363636364,0.318181818181818,0.0909090909090909,1,1,0.909090909090909,0.136363636363636,0.909090909090909,1,0.136363636363636,1,1,1,0.136363636363636,0.590909090909091,0.954545454545455,0.954545454545455,1,NA,0.909090909090909
"67",7,2009,0,0,0,0.130434782608696,0.869565217391304,0.782608695652174,0.956521739130435,1,0.782608695652174,0,0.956521739130435,1,0.0434782608695652,0.304347826086957,1,0.956521739130435,0.782608695652174,0,0.826086956521739,1,0,1,1,1,0.391304347826087,0.695652173913043,1,0.826086956521739,1,NA,1
"68",8,2009,0,0,0,0.0952380952380952,0.80952380952381,0.714285714285714,1,0.952380952380952,0.952380952380952,0.0476190476190476,0.857142857142857,0.952380952380952,0.238095238095238,0.523809523809524,1,0.952380952380952,0.761904761904762,0.0952380952380952,1,1,0,1,1,1,0.0952380952380952,0.666666666666667,1,0.857142857142857,0.904761904761905,NA,0.904761904761905
"69",9,2009,0.0454545454545455,0,0,0,0.863636363636364,0.863636363636364,0.954545454545455,0.818181818181818,1,0,0.863636363636364,1,0.136363636363636,0.5,0.909090909090909,0.863636363636364,0.363636363636364,0.0909090909090909,1,0.954545454545455,0.0909090909090909,1,1,0.954545454545455,0.318181818181818,0.5,1,0.863636363636364,1,NA,0.954545454545455
"70",10,2009,0,0,0,0,0.954545454545455,0.772727272727273,0.954545454545455,0.909090909090909,0.954545454545455,0,0.818181818181818,0.863636363636364,0.136363636363636,0.454545454545455,0.818181818181818,1,0.636363636363636,0.0909090909090909,0.954545454545455,1,0.0454545454545455,0.954545454545455,1,1,0.318181818181818,0.363636363636364,1,1,0.954545454545455,NA,0.954545454545455
"71",11,2009,0,0.0476190476190476,0,0.19047619047619,1,0.904761904761905,1,0.857142857142857,1,0,0.904761904761905,0.952380952380952,0.142857142857143,0.238095238095238,0.714285714285714,1,0.666666666666667,0.0952380952380952,0.952380952380952,1,0.0476190476190476,1,0.952380952380952,1,0,0.714285714285714,1,0.904761904761905,1,NA,0.952380952380952
"72",12,2009,0.130434782608696,0.173913043478261,0.130434782608696,0.260869565217391,0.782608695652174,0.91304347826087,1,1,1,0.130434782608696,1,1,0.260869565217391,0.478260869565217,0.869565217391304,0.956521739130435,0.478260869565217,0.173913043478261,0.608695652173913,1,0.217391304347826,1,0.91304347826087,1,0.304347826086957,0.739130434782609,1,0.91304347826087,0.91304347826087,NA,1
