"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"1",1,2004,0.136363636363636,0.0909090909090909,1,0.409090909090909,0.0909090909090909,0.454545454545455,0.272727272727273,1,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.181818181818182,1,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.181818181818182,1,0.272727272727273,0.409090909090909,1,1,0.818181818181818,0.727272727272727,1,1,1,0.0454545454545455,1,0.954545454545455,0.0454545454545455,1,0.0454545454545455
"2",2,2004,0.15,0.15,1,0.45,0.1,0.2,0.1,1,0.2,0.1,0.05,1,0.2,1,0.15,0.15,1,0.05,0.2,1,0.15,0.05,1,1,0.65,0.8,1,1,1,0.05,1,0.9,0.05,1,0.1
"3",3,2004,0.130434782608696,0.0434782608695652,1,0.173913043478261,0,0.217391304347826,0.130434782608696,1,0,0,0,1,0.130434782608696,1,0.130434782608696,0,1,0.0434782608695652,0.347826086956522,1,0,0,1,1,0.956521739130435,0.91304347826087,1,1,1,0.0434782608695652,1,0.91304347826087,0,1,0.0434782608695652
"4",4,2004,0.136363636363636,0.181818181818182,1,0.363636363636364,0.0909090909090909,0.136363636363636,0.181818181818182,1,0.0909090909090909,0.136363636363636,0.0909090909090909,1,0.227272727272727,1,0.0909090909090909,0.181818181818182,1,0.272727272727273,0.409090909090909,1,0.0909090909090909,0.181818181818182,1,1,0.954545454545455,0.954545454545455,1,1,1,0.0909090909090909,1,0.818181818181818,0.136363636363636,1,0.0909090909090909
"5",5,2004,0.142857142857143,0.0952380952380952,1,0.523809523809524,0.142857142857143,0.238095238095238,0,1,0,0,0,1,0.0952380952380952,1,0,0,1,0.0952380952380952,0.238095238095238,1,0.0476190476190476,0.0952380952380952,1,1,0.904761904761905,0.80952380952381,1,1,1,0,1,1,0,1,0.0476190476190476
"6",6,2004,0.227272727272727,0.181818181818182,1,0.363636363636364,0.227272727272727,0.454545454545455,0.272727272727273,1,0,0,0,1,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,1,0.0454545454545455,0.681818181818182,1,0.0454545454545455,0.181818181818182,1,1,0.727272727272727,0.909090909090909,1,1,1,0,1,0.909090909090909,0.0454545454545455,1,0.136363636363636
"7",7,2004,0.181818181818182,0.227272727272727,1,0.318181818181818,0.136363636363636,0.272727272727273,0.0909090909090909,1,0.0454545454545455,0,0,1,0.227272727272727,1,0.0454545454545455,0.0909090909090909,1,0.136363636363636,0.5,1,0.0454545454545455,0.181818181818182,1,1,1,0.863636363636364,1,1,1,0,1,0.909090909090909,0.0909090909090909,1,0.181818181818182
"8",8,2004,0,0.136363636363636,1,0.5,0.0454545454545455,0.681818181818182,0.0454545454545455,1,0,0.0454545454545455,0.0454545454545455,1,0.136363636363636,1,0.227272727272727,0,1,0.0454545454545455,0.181818181818182,1,0.0454545454545455,0.272727272727273,1,1,0.954545454545455,0.909090909090909,1,1,1,0.0454545454545455,1,1,0,1,0.136363636363636
"9",9,2004,0.0454545454545455,0.181818181818182,1,0.5,0.181818181818182,0.318181818181818,0.136363636363636,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.227272727272727,1,0.136363636363636,0.0909090909090909,1,0.318181818181818,0.136363636363636,1,0.0909090909090909,0.0454545454545455,1,1,1,0.954545454545455,1,1,1,0.0454545454545455,1,0.954545454545455,0.0909090909090909,1,0.0454545454545455
"10",10,2004,0.0952380952380952,0.0476190476190476,1,0.19047619047619,0.0476190476190476,0.238095238095238,0.0952380952380952,1,0,0,0.142857142857143,1,0,1,0,0,1,0.0476190476190476,0.0952380952380952,1,0.142857142857143,0.0952380952380952,1,1,0.80952380952381,1,1,1,1,0.0952380952380952,1,0.761904761904762,0,1,0.0476190476190476
"11",11,2004,0.181818181818182,0.0909090909090909,1,0.5,0.136363636363636,0,0,1,0.0454545454545455,0,0.0909090909090909,1,0.0454545454545455,1,0.136363636363636,0.0454545454545455,1,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,1,1,0.727272727272727,0.909090909090909,1,1,1,0.0454545454545455,1,0.909090909090909,0,1,0.0909090909090909
"12",12,2004,0.130434782608696,0.0869565217391304,1,0.217391304347826,0.0869565217391304,0.0869565217391304,0.217391304347826,1,0,0,0,1,0.0869565217391304,1,0.0869565217391304,0.130434782608696,1,0,0.217391304347826,1,0.217391304347826,0.0434782608695652,1,1,0.91304347826087,0.869565217391304,1,1,1,0.0869565217391304,1,1,0,1,0
"13",1,2005,0.0476190476190476,0.0476190476190476,1,0.0952380952380952,0,0,0,1,0,0,0,1,0.0476190476190476,1,0,0.0476190476190476,1,0.0952380952380952,0.19047619047619,1,0.142857142857143,0.0476190476190476,1,1,0.714285714285714,0.857142857142857,1,1,1,0.0952380952380952,1,0.952380952380952,0,1,0.0952380952380952
"14",2,2005,0,0,1,0.35,0,0.05,0,1,0,0,0,1,0.2,1,0.05,0,1,0.1,0.1,1,0,0.1,1,1,0.85,0.65,1,1,1,0.05,1,1,0,1,0
"15",3,2005,0.217391304347826,0.130434782608696,1,0.391304347826087,0.130434782608696,0.173913043478261,0.173913043478261,1,0.130434782608696,0.130434782608696,0.173913043478261,1,0.217391304347826,1,0.173913043478261,0.217391304347826,1,0.130434782608696,0.173913043478261,1,0.173913043478261,0.130434782608696,1,1,0.652173913043478,0.652173913043478,1,1,1,0.217391304347826,1,0.826086956521739,0.130434782608696,1,0.130434782608696
"16",4,2005,0.0952380952380952,0,1,0.142857142857143,0,0.0476190476190476,0,1,0,0,0,1,0.0476190476190476,1,0,0.0476190476190476,1,0,0.142857142857143,1,0.0476190476190476,0,1,1,0.952380952380952,0.80952380952381,1,1,1,0.0952380952380952,1,0.904761904761905,0.0476190476190476,1,0.19047619047619
"17",5,2005,0.0454545454545455,0,1,0.318181818181818,0.0909090909090909,0,0.0454545454545455,1,0,0,0.0454545454545455,1,0,1,0,0.0454545454545455,1,0,0,1,0.0454545454545455,0.227272727272727,1,1,0.772727272727273,0.863636363636364,1,1,1,0.0909090909090909,1,0.863636363636364,0,1,0
"18",6,2005,0.0454545454545455,0.0909090909090909,1,0.227272727272727,0,0.0909090909090909,0.0909090909090909,1,0,0,0,1,0.0454545454545455,1,0.0454545454545455,0.136363636363636,1,0.0909090909090909,0,1,0.0909090909090909,0.181818181818182,1,1,0.863636363636364,0.818181818181818,1,1,1,0,1,0.909090909090909,0,1,0
"19",7,2005,0.0952380952380952,0.142857142857143,1,0.238095238095238,0.142857142857143,0,0,1,0,0,0,1,0.0476190476190476,1,0.0952380952380952,0,1,0.142857142857143,0,1,0.19047619047619,0.19047619047619,1,1,1,0.904761904761905,1,1,1,0.0476190476190476,1,0.904761904761905,0,1,0.0476190476190476
"20",8,2005,0.0434782608695652,0.0869565217391304,1,0.173913043478261,0,0,0,1,0,0.0869565217391304,0,1,0,1,0,0,1,0.0434782608695652,0.0434782608695652,1,0.0869565217391304,0.0434782608695652,1,1,0.91304347826087,0.608695652173913,1,1,1,0,1,0.869565217391304,0.0434782608695652,1,0
"21",9,2005,0.181818181818182,0.0909090909090909,1,0.272727272727273,0.0454545454545455,0.0909090909090909,0.136363636363636,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.136363636363636,1,1,0.818181818181818,0.863636363636364,1,1,1,0.0454545454545455,1,1,0.0454545454545455,1,0.0454545454545455
"22",10,2005,0.0476190476190476,0,1,0.333333333333333,0,0.0476190476190476,0.0476190476190476,1,0,0.0476190476190476,0,1,0.0952380952380952,1,0.0476190476190476,0.142857142857143,1,0,0.0476190476190476,1,0.0476190476190476,0.238095238095238,1,1,0.857142857142857,0.571428571428571,1,1,1,0.0476190476190476,1,0.904761904761905,0,1,0
"23",11,2005,0.0909090909090909,0.0909090909090909,1,0.590909090909091,0,0.0454545454545455,0.0454545454545455,1,0,0,0.0454545454545455,1,0.0909090909090909,1,0,0,1,0.0909090909090909,0.0909090909090909,1,0,0,1,1,0.863636363636364,0.727272727272727,1,1,1,0,1,0.681818181818182,0,1,0
"24",12,2005,0.0909090909090909,0.136363636363636,1,0.136363636363636,0.0454545454545455,0.0909090909090909,0.136363636363636,1,0.136363636363636,0.0909090909090909,0.181818181818182,1,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,1,0.0909090909090909,0.181818181818182,1,0.0909090909090909,0.136363636363636,1,1,0.863636363636364,0.5,1,1,1,0.0909090909090909,0.636363636363636,0.863636363636364,0.0454545454545455,1,0.0454545454545455
"25",1,2006,0.0909090909090909,0,1,0.0909090909090909,0,0.0454545454545455,0.0909090909090909,1,0,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,1,0,0,1,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,0.0909090909090909,1,1,0.863636363636364,0.272727272727273,1,1,1,0,0.136363636363636,0.772727272727273,0,1,0
"26",2,2006,0.05,0.1,1,0.2,0.05,0.1,0.05,1,0.05,0.1,0.05,0.9,0.05,1,0.05,0.05,1,0.1,0.05,1,0.15,0.1,1,1,0.9,0.25,1,1,1,0.05,0.2,0.95,0.05,1,0.05
"27",3,2006,0.0434782608695652,0.130434782608696,1,0.260869565217391,0.0869565217391304,0.0869565217391304,0.0434782608695652,1,0.0869565217391304,0.130434782608696,0.0869565217391304,0.0434782608695652,0.0434782608695652,1,0.0869565217391304,0.0869565217391304,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.0869565217391304,1,1,0.91304347826087,0.304347826086957,1,1,1,0.0434782608695652,0.130434782608696,0.782608695652174,0.0434782608695652,1,0.0434782608695652
"28",4,2006,0.2,0.15,1,0.2,0.15,0.1,0.15,1,0.1,0.2,0.1,0.1,0.2,1,0.15,0.15,1,0.1,0.1,1,0.2,0.1,1,1,0.9,0.15,1,1,1,0.15,0.15,0.75,0.15,1,0.1
"29",5,2006,0.0434782608695652,0.130434782608696,1,0.130434782608696,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,1,0.0869565217391304,0.0434782608695652,1,0.0434782608695652,0.0869565217391304,1,0.0869565217391304,0.0869565217391304,1,1,0.608695652173913,0.217391304347826,1,1,1,0.0434782608695652,0.0434782608695652,0.782608695652174,0.0434782608695652,1,0.0434782608695652
"30",6,2006,0.136363636363636,0.0454545454545455,1,0.136363636363636,0,0,0,1,0,0,0,0,0,1,0.0909090909090909,0,1,0,0,1,0.0454545454545455,0.0454545454545455,1,1,1,0.227272727272727,1,1,1,0,0.0454545454545455,0.909090909090909,0,1,0
"31",7,2006,0.142857142857143,0.0476190476190476,1,0.0952380952380952,0,0,0.0476190476190476,1,0,0.0952380952380952,0,0,0,1,0,0,1,0.0476190476190476,0,1,0.0952380952380952,0.142857142857143,1,1,1,0.19047619047619,1,1,1,0,0,0.952380952380952,0,1,0
"32",8,2006,0.0869565217391304,0.0869565217391304,1,0.0434782608695652,0.0434782608695652,0,0.0434782608695652,1,0,0,0,0,0,1,0.173913043478261,0,1,0.0434782608695652,0,1,0,0.130434782608696,1,1,0.782608695652174,0.217391304347826,1,1,1,0,0.0434782608695652,1,0,1,0
"33",9,2006,0.0476190476190476,0.19047619047619,1,0.19047619047619,0.0476190476190476,0,0,1,0.0476190476190476,0.0476190476190476,0.0952380952380952,0,0.0476190476190476,1,0.0476190476190476,0,1,0.0476190476190476,0,1,0.142857142857143,0.285714285714286,1,1,0.857142857142857,0.285714285714286,1,1,1,0,0,1,0,1,0
"34",10,2006,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,0.0454545454545455,0.136363636363636,1,0,0,0.0454545454545455,0,0.0454545454545455,1,0,0,1,0.0454545454545455,0,1,0.0909090909090909,0.136363636363636,1,1,0.818181818181818,0.227272727272727,1,1,1,0,0,0.772727272727273,0,1,0.0454545454545455
"35",11,2006,0.0909090909090909,0.227272727272727,1,0.181818181818182,0.0909090909090909,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.136363636363636,1,0.136363636363636,0.181818181818182,1,1,0.772727272727273,0.318181818181818,1,1,0.954545454545455,0.0909090909090909,0.181818181818182,1,0.0909090909090909,1,0.136363636363636
"36",12,2006,0.19047619047619,0.142857142857143,1,0.19047619047619,0.142857142857143,0.142857142857143,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.19047619047619,1,0.142857142857143,0.142857142857143,1,0.142857142857143,0.19047619047619,1,0.142857142857143,0.19047619047619,1,1,0.619047619047619,0.238095238095238,1,1,0.19047619047619,0.142857142857143,0.238095238095238,1,0.19047619047619,1,0.142857142857143
"37",1,2007,0.0869565217391304,0.0869565217391304,1,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0869565217391304,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,1,0.173913043478261,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.130434782608696,1,1,0.91304347826087,0.217391304347826,1,1,0.0434782608695652,0.0869565217391304,0.130434782608696,1,0.0434782608695652,1,0.0434782608695652
"38",2,2007,0.05,0.15,1,0.05,0.1,0.05,0.05,1,0.1,0.1,0.15,0.05,0.05,1,0.05,0.05,1,0.1,0.05,1,0.1,0.1,1,1,0.8,0.2,1,1,0.05,0.05,0.1,1,0.05,1,0.1
"39",3,2007,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.181818181818182,0.0454545454545455,1,0.0454545454545455,0.136363636363636,1,0.0454545454545455,0.0454545454545455,1,1,0.818181818181818,0.136363636363636,1,1,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,1,0.0909090909090909
"40",4,2007,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,0.19047619047619,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,1,1,0.952380952380952,0.285714285714286,1,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.952380952380952,0.0952380952380952,1,0.142857142857143
"41",5,2007,0.0869565217391304,0.0869565217391304,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,0.0869565217391304,0.130434782608696,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,0.130434782608696,0.0434782608695652,1,0.130434782608696,0.0869565217391304,1,0.0434782608695652,0.130434782608696,1,1,0.956521739130435,0.130434782608696,1,1,0.0434782608695652,0.0434782608695652,0.0869565217391304,1,0.0434782608695652,1,0.0434782608695652
"42",6,2007,0,0,1,0,0,0,0,1,0,0.0476190476190476,0.0476190476190476,0,0,1,0,0,1,0,0.0476190476190476,1,0,0.0476190476190476,1,1,0.952380952380952,0.19047619047619,1,1,0,0,0,0.952380952380952,0,1,0
"43",7,2007,0.0454545454545455,0.0454545454545455,1,0,0.0454545454545455,0,0.0454545454545455,1,0,0,0,0,0,1,0.0454545454545455,0,1,0,0,1,0,0.0909090909090909,1,1,0.909090909090909,0,1,1,0.0454545454545455,0,0,0.863636363636364,0.0454545454545455,1,0
"44",8,2007,0.130434782608696,0,1,0,0,0,0.0434782608695652,1,0,0,0.0434782608695652,0,0.0434782608695652,1,0.0434782608695652,0,1,0,0,1,0,0,1,1,0.956521739130435,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,0,0.869565217391304,0,1,0.0434782608695652
"45",9,2007,0.05,0.15,1,0.05,0,0.1,0,1,0.05,0.05,0,0,0,1,0,0,1,0,0,1,0.1,0,1,1,1,0.05,1,1,0,0,0,0.95,0,1,0
"46",10,2007,0.0434782608695652,0,1,0.0434782608695652,0,0,0.0434782608695652,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.91304347826087,0,1,1,0,0,0.0434782608695652,0.826086956521739,0,1,0.0434782608695652
"47",11,2007,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.136363636363636,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,1,0.136363636363636,0.0909090909090909,1,0.0909090909090909,0.136363636363636,1,0.0909090909090909,0.0909090909090909,1,1,1,0.136363636363636,1,1,0.0909090909090909,0.0909090909090909,0.136363636363636,0.954545454545455,0.0909090909090909,1,0.0909090909090909
"48",12,2007,0.0952380952380952,0.19047619047619,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.0952380952380952,1,0.0952380952380952,0.142857142857143,1,0.19047619047619,0.142857142857143,1,1,1,0.238095238095238,1,1,0.0952380952380952,0.0952380952380952,0.142857142857143,0.952380952380952,0.0952380952380952,1,0.142857142857143
"49",1,2008,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,0.0869565217391304,1,0.0869565217391304,0.0434782608695652,1,1,0.826086956521739,0.0434782608695652,1,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,0.0434782608695652,1,0.0434782608695652
"50",2,2008,0.142857142857143,0.0952380952380952,1,0.142857142857143,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,1,1,0.952380952380952,0.0952380952380952,1,1,0.0952380952380952,0.0476190476190476,0.0952380952380952,1,0.0476190476190476,1,0.0476190476190476
"51",3,2008,0.19047619047619,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,0.19047619047619,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.19047619047619,1,0.142857142857143,0.142857142857143,1,0.142857142857143,0.142857142857143,1,0.142857142857143,0.142857142857143,1,1,1,0.142857142857143,1,1,0.142857142857143,0.142857142857143,0.142857142857143,0.952380952380952,0.142857142857143,1,0.142857142857143
"52",4,2008,0.181818181818182,0,1,0.0454545454545455,0,0,0,1,0.0454545454545455,0,0,0,0,1,0.0909090909090909,0,1,0,0,1,0,0,1,1,0.909090909090909,0.0454545454545455,1,1,0,0,0.0454545454545455,0.954545454545455,0,1,0
"53",5,2008,0.0909090909090909,0.0454545454545455,1,0.136363636363636,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0909090909090909,1,1,1,0.0454545454545455,1,1,0.0909090909090909,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,1,0.0454545454545455
"54",6,2008,0.285714285714286,0.0476190476190476,1,0,0,0,0.0476190476190476,0.523809523809524,0,0,0,0,0,1,0.0952380952380952,0,1,0,0,1,0.0952380952380952,0,0.619047619047619,1,1,0.0952380952380952,1,1,0,0,0,0.952380952380952,0,1,0.0476190476190476
"55",7,2008,0.173913043478261,0.0434782608695652,1,0.0434782608695652,0,0,0.0869565217391304,0.0434782608695652,0.0434782608695652,0,0,0,0,1,0.0434782608695652,0,1,0,0.0434782608695652,1,0.0434782608695652,0.0434782608695652,0.260869565217391,1,0.91304347826087,0,1,1,0.0434782608695652,0.0434782608695652,0,0.956521739130435,0.0434782608695652,1,0
"56",8,2008,0.380952380952381,0,1,0,0,0,0,0.0952380952380952,0.0952380952380952,0,0,0,0,1,0,0,1,0,0.0952380952380952,1,0,0,0.238095238095238,1,0.952380952380952,0,1,1,0.0476190476190476,0,0.142857142857143,1,0,1,0
"57",9,2008,0.136363636363636,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,0.136363636363636,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.181818181818182,1,0.863636363636364,0.0454545454545455,1,1,0.0909090909090909,0.0454545454545455,0.181818181818182,0.954545454545455,0.0454545454545455,1,0.0454545454545455
"58",10,2008,0.130434782608696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.521739130434783,1,0,0,0.0869565217391304,1,0.91304347826087,0,1,1,0,0,0,0.956521739130435,0,1,0.0434782608695652
"59",11,2008,0.05,0.15,1,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.1,1,0.05,0.05,1,0.05,0.05,1,0.05,0.05,0.15,1,1,0.15,1,1,0.1,0.05,0.05,0.95,0.05,1,0.05
"60",12,2008,0.304347826086957,0.173913043478261,1,0.130434782608696,0.0869565217391304,0.130434782608696,0.173913043478261,0.217391304347826,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,1,0.0869565217391304,0.130434782608696,1,0.130434782608696,0.173913043478261,1,0.130434782608696,0.0869565217391304,0.130434782608696,1,0.956521739130435,0.173913043478261,1,1,0.0869565217391304,0.0869565217391304,0.0869565217391304,1,0.0869565217391304,1,0.0869565217391304
"61",1,2009,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.136363636363636,1,1,0.0454545454545455,1,1,0.0454545454545455,0.0454545454545455,0.0909090909090909,1,0.0454545454545455,1,0.0454545454545455
"62",2,2009,0.15,0.2,1,0.1,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.1,0.05,1,0.05,0.1,1,0.05,0.05,1,0.05,0.1,0.15,1,1,0.05,1,1,0.1,0.05,0.2,1,0.05,1,0.05
"63",3,2009,0.181818181818182,0.136363636363636,1,0.136363636363636,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,1,0.0909090909090909,0.0454545454545455,1,0.0454545454545455,0.0454545454545455,0.181818181818182,1,0.909090909090909,0.0909090909090909,1,1,0.0454545454545455,0.0454545454545455,0.181818181818182,1,0.0454545454545455,1,0.0454545454545455
"64",4,2009,0.136363636363636,0.136363636363636,1,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,1,0.0909090909090909,0.0909090909090909,0.136363636363636,1,0.772727272727273,0.0909090909090909,1,1,0.136363636363636,0.0909090909090909,0.318181818181818,0.954545454545455,0.0909090909090909,1,0.0909090909090909
"65",5,2009,0.0952380952380952,0.0476190476190476,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.142857142857143,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,1,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,0.0952380952380952,1,0.0476190476190476,0.0476190476190476,0.0952380952380952,1,0.523809523809524,0.0476190476190476,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,0.0476190476190476,1,0.142857142857143
"66",6,2009,0.0909090909090909,0,1,0.136363636363636,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.818181818181818,0,1,1,0,0,0.0454545454545455,1,0.0454545454545455,1,0.0454545454545455
"67",7,2009,0.0434782608695652,0.0434782608695652,1,0,0,0,0,0.0434782608695652,0,0,0,0.0434782608695652,0,1,0,0,1,0.0869565217391304,0,1,0,0,0.130434782608696,1,0.956521739130435,0.0434782608695652,1,1,0,0,0.0434782608695652,1,0,1,0
"68",8,2009,0.0476190476190476,0,1,0,0,0,0,0,0.0476190476190476,0,0,0,0.0476190476190476,1,0.0476190476190476,0,1,0,0.0476190476190476,1,0,0,0.0952380952380952,1,0.857142857142857,0,1,1,0.0476190476190476,0,0.142857142857143,1,0,1,0
